node_1,node_2,edge
Fully-Dynamic Approximate Decision Trees,dataset,maintained on
dataset,adversarial sequence of insertions and deletions,updated by
algorithm,worst-case update time,has guarantees on
algorithm,quality of the tree,has guarantees on
Gini gain,optimum,within β of
update time,O(d β^{-3} log^4 n),bounded by
d,number of features,is
n,maximum size of the dataset,is
dynamic algorithm,update time in Ω(d),must have
guarantees,variance,hold for
guarantees,information gain,hold for
guarantees,boosted trees,hold for
decision trees,ID3,such as
decision trees,C4.5,such as
3SUM conjecture,update time,implies polynomial in β^{-1}
Orthogonal Vectors Hypothesis,update time,implies polynomial in β^{-1}
decision trees,offline model,constructed in
decision trees,training set,constructed from
decision tree construction algorithm,training set,feeds on
ID3,decision tree construction algorithm,is an example of
C4.5,decision tree construction algorithm,is an example of
training data,frequent updates,subject to
decision tree,obsolete,may become
dynamic models,decision trees,maintains
dynamic models,stream of examples,input is
algorithm,tree,updates after each example
incremental algorithms,purely incremental,characteristic of
incremental algorithms,assume examples are added,limitation
incremental algorithms,no example is ever removed,limitation
incremental algorithms,ensure trees of good quality only if streamed examples are independent,limitation
incremental algorithms,arbitrary stream gives no guarantee,limitation
fully dynamic model,arbitrary streams of insertions and deletions,assumes
fully dynamic model,maintaining decision trees,studies problem of
fully dynamic model,update time,measured by
fully dynamic model,query time,measured by
algorithm,initial multiset S0,starts with
adversary,updates Si−1 to Si,performs
adversary,inserting or deleting a labeled example,updates by
goal of algorithm,maintain decision tree Ti,is to
decision tree Ti,offline tree from reference algorithm,close to
reference algorithm,C4.5,example of
