node_1,node_2,edge
CodeIt,Self-Improving Language Models,is a method for
CodeIt,Prioritized Hindsight Replay,uses
CodeIt,program sampling,involves
CodeIt,hindsight relabeling,involves
CodeIt,learning from prioritized experience replay,involves
hindsight relabeling,goal of an episode,relabels
hindsight relabeling,realized output,uses to replace goal
CodeIt,Abstraction and Reasoning Corpus (ARC),applied to
CodeIt,inter-task generalization,achieves
CodeIt,neuro-symbolic approach,is a
CodeIt,state-of-the-art performance,achieves
CodeIt,15% of ARC evaluation tasks,solves
pre-training,CodeIt,contributes to success of
data-augmentation,CodeIt,contributes to success of
ARC,programming-by-examples problem,is approached as
Large language models,human-level reasoning,increasingly solve tasks requiring
Large language models,Abstraction and Reasoning Corpus (ARC),perform poorly on
Code Iteration,sampling stage,includes
sampling stage,programs ρ,samples
programs ρ,policy Qθ,sampled from
policy Qθ,input-output pairs,conditioned on
program,target output O*,may not produce
hindsight relabeling,program ρ,adds to buffer
hindsight relabeling,inputs I,adds to buffer
hindsight relabeling,realized outputs O,adds to buffer
learning stage,policy,trains
policy,buffer,trained on samples from
Abstraction and Reasoning Corpus (ARC),general artificial intelligence benchmark,is a
ARC,humans and AI systems,targeted at
ARC,few-shot example tasks,contains
few-shot example tasks,four innate core knowledge systems,assume access to
four innate core knowledge systems,objects,includes
four innate core knowledge systems,actions,includes
four innate core knowledge systems,number,includes
four innate core knowledge systems,space,includes
ARC,massive memorization capability of pre-trained language models,is of limited use for
ARC tasks,demonstration examples,consist of
demonstration examples,input grid,consists of
demonstration examples,output grid,consists of
ARC tasks,test inputs,consists of
test inputs,output,requires prediction of
effective agents,abstractions,use
abstractions,four core knowledge systems,related to
effective agents,demonstration examples,generalize from
effective agents,test examples,generalize to
adjacent cells,same color value,form an object
multiple objects,attract or repel,action
existing approaches to ARC,neural,classified as
existing approaches to ARC,(neuro-) symbolic,classified as
neural approaches,output grids,directly predict
(neuro-) symbolic approaches,program or other symbolic representation,first predict
Humans,ARC tasks,solve 80% of
GPT-4,ARC tasks,solves only 12% of
