node_1,node_2,edge
Data selection problem,representative subset of data,aims to select
Data selection approach,k-means clustering,based on
Data selection approach,sensitivity sampling,based on
embedding representation,model loss,Hölder continuous with respect to
approach,typical elements,selects
average loss of selected elements,average loss of whole dataset,corresponds to up to multiplicative (1 ± ε) factor and additive ελΦk
Φk,k-means cost,represents
λ,Hölder constant,is
approach,fine-tuning foundation models,demonstrated on
approach,linear regression,applied to
new sampling strategy,leverage score sampling,matches performance of
Large datasets,Large models,both grow to massive scale together
Large models,Training and fine-tuning,"makes extremely difficult, costly, time-consuming"
Large datasets,Training and fine-tuning,"makes extremely difficult, costly, time-consuming"
Training and fine-tuning,Academic institutions or small-scale companies,nearly impossible for
Complete dataset,Nearly optimal performance,not needed to reach
Uniform sampling,Performance,shows surprisingly good but suboptimal
Real datasets,Uniform sampling,"complex and imbalanced, making uniform sampling suboptimal"
Data selection and active learning methods,Most relevant data items,"deduce based on uniqueness, quality"
Most relevant data items,Training or fine-tuning,used for
active learning,data selection,includes
active learning,training,used for
active learning,fine-tuning,used for
data items,uniqueness,selected based on
data items,quality,selected based on
data items,model’s knowledge,selected based on
active learning,heuristics,uses
active learning,greedy approaches,uses
data selection strategies,uncertainty-based,are
uncertainty-based strategies,margin scores,include
uncertainty-based strategies,entropy scores,include
uncertainty-based strategies,model uncertainty,aim to select items with high
model-based methods,overhead,have
model-based methods,evaluating the model on the whole dataset,requires
active learning strategies,modern training frameworks,difficult to use in
batch training,active learning strategy,requires picking a batch of elements
batch of elements,diversity,requires
diversity,margin objective,anti-correlates with
margin objective,near-duplicate elements,may lead to picking
score of training elements,model,obtained through
model,data items,run on to determine scores
