node_1,node_2,edge
attention layers,word sensitivity (WS),exhibit high word sensitivity
random features,word sensitivity (WS),exhibit low word sensitivity
softmax,attention layers,critical component for high word sensitivity
ReLU,softmax,compared unfavorably for word sensitivity
word sensitivity (WS),generalization bounds,translates into
random features,generalization capabilities,limited due to low word sensitivity
random attention features,generalization capabilities,higher due to high word sensitivity
BERT-Base word embeddings,imdb review dataset,used for experimental validation
Deep learning theory,double-descent,provides quantitative description of
Deep learning theory,benign overfitting,provides quantitative description of
Deep learning theory,feature learning,provides quantitative description of
large language models,transformers,achieved by
transformers,attention layers,based on
attention mechanism,transformers,unique feature of
BERT-Base word embeddings,imdb review dataset,used in experimental evidence over
large language models,principled design,enables
simplified attention models,sample complexities,characterizes
sparse functions,simplified attention models,limited learning target of
correlations between first query token and key tokens,simplified attention models,limited learning target of
word sensitivity,language models,required by
semantic changes,single word modification,caused by
BERT-Base model,attention score pattern,shows
Llama2-7b,output modification,requires
attention layers,fully connected architectures,compared for word sensitivity
word embeddings,textual data,represents
