node_1,node_2,edge
Statistical models,Singular models,are a type of
Singular models,Fisher information matrix,have degenerate
Fixed step-size gradient descent,Statistical models,converges in polynomial steps for
Local curvature information,Parameter estimation,used for improving
Normalized gradient descent (NormGD),Gradient descent algorithm,is a variant of
Normalized gradient descent (NormGD),Hessian matrix,scales step size by maximum eigenvalue of
Population loss function,Homogeneous,can be
NormGD iterates,Statistical radius,reach final
Sample loss function,Non-convex,is
Population-to-sample analysis,Normalized gradient descent (NormGD),used to analyze
NormGD algorithm,population loss function,operates under homogeneity of
NormGD algorithm,final statistical radius,reaches after logarithmic iterations in n
NormGD algorithm,fixed step-size gradient descent algorithm,has cheaper computational complexity than
fixed step-size gradient descent algorithm,computational complexity,has O(n^τ) for τ > 1
NormGD algorithm,computational complexity,achieves optimal O(n)
optimization,statistical models,serves critical role in
optimization,fixed points in data-dependent operators,enables determination of
population-level operator,asymptotic performance,linked to properties of
objective function,unique minimizer θ⋆,has
infinitely large sample size,assumption,is an assumption of
θ⋆,unique minimizer,is the
θ⋆,objective function f,minimizes
fn,unbiased estimate,is an
fn,true objective function f,estimates
gradient descent (GD) algorithm,first-order optimization methods,is a type of
gradient descent (GD) algorithm,approximating true parameter,used for
sample loss function fn,set of i.i.d. data points S,applied to
θ⋆,true unknown parameter,represents
(cid:98)θn,solution of (1),is a
(cid:98)θn,estimation of true parameter θ⋆,is an
population loss function f,expectation of fn(θ),is defined as
population version of optimization problem (1),problem (2),is defined as
