node_1,node_2,edge
deep neural networks,effective learning rates (ELRs),exhibit disparities in across layers
effective learning rates (ELRs),trainability,negatively affect
weight dynamics,expected gradient and weight norms,models evolution of
weight dynamics,layer-wise ELR ratios,predicts evolution of
normalization layers,weight dynamics,influence
constant learning rate,ELR ratios,converges to 1
initial gradient explosion,ELR ratios,despite
critical learning rate,ELR disparities,widens beyond
critical learning rate,current ELRs,depends only on
hyper-parameter-free warm-up method,ELR spread,minimizes
ELR spread,trainability,linked with
very deep networks,gradient magnitude excursions,exhibit significant
deep networks,vanishing and exploding gradients,fundamental problem of
forward pass,exponential excursion of signal magnitude,causes
backward pass,excursion of gradient magnitudes,causes
deep stacks of layers,increased correlations,causes
increased correlations,vanishing dimensionality,causes
proper initialization,vanishing and exploding gradients,reduces
modern architectures,residual connections,address issues using
modern architectures,normalization layers,address issues using
residual connections,down-weighting of deep layers,implicitly performs
batch normalization (BN),normalization layers,is a variant of
normalization layers,deep paths,increases down-weighting effect on
residual branch,normalization layers,weight decreased by combination with
gradient magnitude excursions,normalization layers,dynamics affected by
BatchNorm,internal covariate shift,initial claim of reducing was refuted
BatchNorm,loss surface,smooths
BatchNorm,learning rates,enables bigger
WeightNorm,layer’s length and direction,decouples
weight-normalized networks,gradients,gradients are orthogonal to layer weights in
normalized networks,effective step size,effective step size is proportional to 1 in
scale invariance,normalized networks,gives additional property to
