node_1,node_2,edge
Decentralized learning,Scalable usage of distributed data,enables
Decentralized learning,Privacy,promotes
Curious users,Models obtained from peers,leverage to violate privacy
DECOR,Decentralized SGD,variant of
DECOR,Differential privacy (DP) guarantees,provides
DECOR,Pairwise-canceling correlated Gaussian noises,injects to protect local models
Pairwise-canceling correlated Gaussian noises,Randomness seeds,generated from securely exchanged
DECOR,Central DP optimal privacy-utility trade-off,matches
SecLDP,Local DP,new relaxation of
SecLDP,User communications,protects against external eavesdropper and curious users
SecLDP,Every pair of connected users shares a secret,assumes
Network sparsity,Accumulation of non-canceling correlated noise,causes
network sparsity,SecLDP privacy accountant,companion proposal
training dataset,diverse sources,dispersed among
training dataset,privacy concerns,involves
privacy concerns,healthcare,especially in applications like
privacy concerns,federated learning,promotes emergence of
privacy concerns,decentralized learning,promotes emergence of
federated learning,decentralized learning,related paradigms
decentralized learning,central server,removes assumption of
decentralized learning,model updates,transmitted directly between users
decentralized stochastic gradient descent (D-SGD),users,algorithm used by
decentralized stochastic gradient descent (D-SGD),local gradient updates,alternates between performing
decentralized stochastic gradient descent (D-SGD),averaging local models via gossiping,alternates between performing
privacy-sensitive data,sensitive information,confine
Decentralized learning,Local models,averages local models via gossiping
Privacy-sensitive data,Decentralization,confined locally with decentralization
Algorithm,Sensitive information,avoids leaking sensitive information
External eavesdropper,Algorithm,can observe communicated updates or final model
Honest-but-curious user,Algorithm,follows algorithm but may attempt to violate privacy
Differential privacy (DP),Formal privacy guarantees,serves as theoretical framework for measuring
Centralized settings,Differential privacy (DP),extensively studied in centralized settings
Decentralized learning,Differential privacy (DP),less attention given to adapting DP to
Local differential privacy (LDP),Decentralized learning,strongest threat model in decentralized learning
Local differential privacy (LDP),Users,users do not trust any other entity and obfuscate communications independently
Central differential privacy (CDP),Final model,protects only the final model
Central differential privacy (CDP),Single machine learning,exactly as if learning was conducted on a single machine
Local differential privacy (LDP),Central differential privacy (CDP),significant performance gap between LDP and CDP
LDP algorithms,CDP algorithms,optimal privacy-utility trade-off under LDP can be n times worse than CDP
