node_1,node_2,edge
Non-clairvoyant Scheduling,Partial Predictions,is studied with
Non-clairvoyant Scheduling,Learning-augmented algorithms,gains new interest within
Decision-maker,Predictions,equipped with
Predictions,Quality guarantees,without
Access to predictions,Specific instances,may be reduced to
Cost or data limitations,Access to predictions,cause reduction in
Algorithm,B job sizes,has predictions for only
B job sizes,n jobs,subset of
Perfect predictions,Near-optimal lower bounds,established for
Perfect predictions,Algorithms,established for
Learning-augmented algorithm,Robustness,satisfies
Learning-augmented algorithm,Consistency,satisfies
Learning-augmented algorithm,Smoothness,satisfies
Restricted number of predictions,Tradeoff between consistency and smoothness,reveals novel
Optimal job scheduling,Optimization problems,is a class of
Preemptive single-machine scheduling,n jobs,involves executing
preemptive single-machine scheduling,jobs,involves executing
preemptive single-machine scheduling,minimize sum of completion times,objective is to
clairvoyant algorithm,job sizes,has initial access to
non-clairvoyant algorithm,job sizes,does not have initial access to
non-clairvoyant scheduling algorithms,competitive analysis,is a classical problem in
competitive analysis,online algorithms,related to
online algorithm,optimal offline algorithm,performance is bounded away from
machine learning,predictions in algorithm design,motivated incorporation of
learning-augmented algorithms,algorithm design,originated from
learning-augmented algorithms,consistency,requires
learning-augmented algorithms,robustness,requires
learning-augmented algorithms,smoothness,requires
predictions,learning-augmented algorithms,influence outcome of
predictions,costs,incur
limited number of predictions,caching problem,investigated for
limited number of predictions,metrical task systems,investigated for
limited number of predictions,scheduling problem,explored for
scheduling problem,true sizes of B jobs,queries
authors,competitive algorithm,present
competitive algorithm,lower bound,has
