node_1,node_2,edge
Graph Neural Networks (GNNs),graph-structure,tend to overfit
Graph Neural Networks (GNNs),gradient-descent learning,analyzed for implicit bias
graph-structure,ground truth function,ignored when better solution exists
regular graphs,graph overfitting,more robust to
regular graphs,GNNs,guaranteed to extrapolate on
graph overfitting,performance,reduces when using regular graphs
Graph labeling problems,graph-structure,arise from and use
Graph labeling problems,node features,use as input
Graph Neural Networks (GNNs),graph labeling problems,are leading approach for
Graph Neural Networks (GNNs),node features,combine with graph-structure
Graph Neural Networks (GNNs),graph-structure,combine with node features
graph-structure,adjacency matrix,is provided as
graph-structure,GNNs,can be ignored to reduce overfitting
graph overfitting,performance,reducing enhances
GNN,graph-structure,provided as input to
graph-structure,non-informative,may be
molecular properties,molar mass,example of
molar mass,constituent atoms,depends solely on
constituent atoms,node features,are
graph-structure,valuable information,may contain
GNN,graph-structure,cannot effectively exploit
node features,information,carry most of the
graph-structure,small added value,conveys
node features,user's zipcode,contain
user's zipcode,user's income,highly predictable by
social structure,accuracy,adds little
GNN,graph-structure,may overfit
overfitting graph-structure,reduced test accuracy,results in
GNNs,disregard graph,lack ability to discern when to
providing a graph,performance of GNNs,can hurt
