node_1,node_2,edge
Rate-Distortion View of Uncertainty Quantification,Distance Aware Bottleneck (DAB),introduces
Distance Aware Bottleneck (DAB),deep neural networks,enriches with uncertainty estimation
Distance Aware Bottleneck (DAB),information bottleneck approaches,builds on
Distance Aware Bottleneck (DAB),codebook,learns
codebook,compressed representation,stores
compressed representation,inputs seen during training,represents
distance of a new example from codebook,uncertainty estimate,serves as
Distance Aware Bottleneck (DAB),deterministic uncertainty estimates,provides
Distance Aware Bottleneck (DAB),out-of-distribution (OOD) detection,achieves better
Distance Aware Bottleneck (DAB),misclassification prediction,achieves better
Distance Aware Bottleneck (DAB),ensemble methods,outperforms
Distance Aware Bottleneck (DAB),deep kernel Gaussian Processes,outperforms
Distance Aware Bottleneck (DAB),standard information bottleneck,outperforms
supervised learning,input’s proximity to training data,helps understand
Gaussian Processes,uncertainty estimation,naturally have
deep neural networks,uncertainty estimation,often lack
confident predictions,human help,trade-off in decision making
uncertainty estimation,probabilistic approaches,built from
probabilistic approaches,deep neural networks (DNNs),tailored to
uncertainty estimation,deep ensembles,built from
multiple model samples,reliable uncertainty estimate,required for
distance-aware model,distance,measures
distance,input examples,between
misclassified datapoints,larger distances,identified by
semantic (near OOD) deviations,larger distances,identified by
domain (far OOD) deviations,larger distances,identified by
codebook,training dataset,represents
codebook,CIFAR-10,trained on
Deterministic Uncertainty Methods (DUMs),uncertainty estimates,affords
Deterministic Uncertainty Methods (DUMs),distance-aware,are
distance score,test example,quantifies distance of
distance score,Out-Of-Distribution (OOD) examples,indicates
DUMs,regularization techniques,tied to
regularization techniques,feature collapse,mitigates
weight constraints,OOD detection results,helps reach state-of-the-art
weight constraints,calibration,may undermine
calibration,DNN,predicts incorrectness of
CIFAR-10,codebook,trained on
CIFAR-10,training manifold,distance from
