node_1,node_2,edge
Kernel Regression,Generalization,analyzes generalization in
Over-parameterized models,Bias-variance tradeoff,elude
Over-parameterized models,Generalization,generalize well despite overfitting noise
Kernel Regression,Excess risk,upper bounds
Benign overfitting,High input dimensions,occurs in
Tempered overfitting,Fixed dimensions,occurs in
Regularized regression,Convergence rates,has explicit
Neural networks,Kernel regime,trained in
Kernel matrices,Eigenvalues,has relative perturbation bounds for
Self-regularization,Heavy tail in eigendecomposition,revealed by
Self-regularization,Good generalization,leads to
models,noisy data,generalize well even when perfectly fitting
phenomenon,classical intuition of the bias-variance tradeoff,contradicts
phenomenon,kernel methods,studied in the context of
kernel methods,over-parameterized neural networks,related via Neural Tangent Kernel (NTK) and Gaussian Process Kernel (GPK)
empirical observations,current theoretical analysis,gap between
past works,unrealistic assumptions,tend to make
unrealistic assumptions,analysis of linear regression,inspired by
past works,narrow problem setup,limited to
kernel regression,generalization error,has upper bounds for
kernel regression,self-regularization property,has
self-regularization property,implicit regularization,provides
self-regularization property,relative deviation bounds,characterized by
relative deviation bounds,eigenvalues of kernel matrices,bounds for
kernel regression,excess risk,has upper bounds for
excess risk,bias,has component
excess risk,variance,has component
kernel regression,NTKs,applies to
NTKs,neural networks,provides insights on generalization in
