node_1,node_2,edge
Adaptive Hierarchical Certification,Segmentation,applied to
Adaptive Hierarchical Certification,Randomized Smoothing,uses
Certification,machine learning,is a method for
Certification,adversarial sample,proves that no can evade model
flat set of fine-grained classes,certification methods for segmentation,used by
flat set of fine-grained classes,high abstain rates,leads to
multi-level hierarchy,pixels,certifies within
adaptive hierarchical certification algorithm,certification,relaxes to coarser level
adaptive hierarchical certification algorithm,abstain rate,lowers
Certified Information Gain (CIG) metric,class granularity level,is proportional to
adaptive algorithm,current state-of-the-art certification method,achieves higher CIG and lower abstain rate compared to
Cityscapes,adaptive algorithm,dataset used for experiments on
PASCAL-Context,adaptive algorithm,dataset used for experiments on
ACDC,adaptive algorithm,dataset used for experiments on
COCO-Stuff,adaptive algorithm,dataset used for experiments on
Image semantic segmentation,safety-critical applications,is important for
Image semantic segmentation,autonomous driving,used in
Image semantic segmentation,medical imaging,used in
Image semantic segmentation,video surveillance,used in
Image semantic segmentation,object detection,used in
deep neural networks,adversarial perturbations,are non-robust to
adversarial attacks,defenses,arms race between
certification techniques,classification,explored in
certification techniques,semantic segmentation,first recent effort in
certification for segmentation,hard task,is a
semantic segmentation,Fischer et al. (2021),first recent effort in
certification for segmentation,certifying many components simultaneously,requires
naive approach,certify each component to its top class within a radius,would be to
naive approach,overall certified radius of the image,takes the minimum as
single unstable component,very small radius,could lead to
single unstable component,abstain,could lead to
state-of-the-art certification method for segmentation,SEGCERTIFY,is
SEGCERTIFY,randomized smoothing,relies on
SEGCERTIFY,abstaining from unstable components,mitigates the many components issue by
SEGCERTIFY,conservatively certifies the rest,and
unstable component,model is not confident about a single top class,implies that
unstable component,fluctuates between classes that are semantically related,often means that
unstable component,car and truck,fluctuates between
certifying within a semantic hierarchy as vehicle,abstaining,would provide a more meaningful guarantee compared to
novel hierarchical certification method,semantic segmentation,proposed for
novel hierarchical certification method,adaptively certifies pixels within a multi-level hierarchy,which
novel hierarchical certification method,Fischer et al. (2021),preserves similar theoretical guarantees to
hierarchy levels,fine-grained labels,start from
hierarchy levels,coarser ones that group,to
