node_1,node_2,edge
Fair decision making,Sequential decision making,is studied in the context of
Sequential decision making,Multiple stakeholders,affects
Fairness,History of sequential decision-making process,depends on
Fairness,Non-Markovian,is inherently
Non-Markovian fairness,Sequential decision making,is explored in the context of
Non-Markovian fairness,Long-term fairness,includes notion of
Non-Markovian fairness,Anytime fairness,includes notion of
Non-Markovian fairness,Periodic fairness,includes notion of
Non-Markovian fairness,Bounded fairness,includes notion of
Non-Markovian fairness,Memory,interplays with
Memory,Fair policies,supports construction of
FairQCM algorithm,Training data,augments automatically
FairQCM algorithm,Sample efficiency,improves
FairQCM algorithm,Reinforcement learning,synthesizes fair policies via
sequential decision making,fairness,studied in the context of
sequential decision making,multiple stakeholders,affects
decision making,stakeholders,affects
vaccine distribution,countries,allocated to
vaccine distribution,fairness,aspires to be
decision making,vaccine distribution,involves
delivery,vaccine distribution,part of
delivery,feasible plans,restricts
vaccine delivery,origin,travels from
vaccine delivery,destination,travels to
vaccine delivery,complexity,characterized by
vaccine delivery,cost,characterized by
vaccine distribution,fairness,affects
intermediate decisions,fairness,may not affect
long-term fairness,decision-making process,aspires to
vaccine distribution,countries A and B,distributed to
economical plan,country A,"delivers 40,000 vaccines to"
economical plan,country B,"delivers 40,000 vaccines to"
second process,country A,"delivers 10,000 vaccines each month for 4 months"
second process,country B,"delivers 10,000 vaccines each month for 4 months"
early vaccine access,reduced negative health outcomes,proxy for
sequential decision making,fairness,requires non-Markovian consideration
