node_1,node_2,edge
BRAINMIXER,unsupervised learning framework,is a type of
BRAINMIXER,voxel-level representation,learns
BRAINMIXER,functional connectivity,utilizes
BRAINMIXER,time series of voxels,utilizes
BRAINMIXER,MLP-based encoders,employs
BRAINMIXER,dynamic attention mechanism,uses to encode voxel activity
BRAINMIXER,temporal graph patching,presents
BRAINMIXER,adaptive temporal pooling,encodes each patch via
voxel-level activity,temporal dynamics,misses
functional connectivity,region of interests,is at the level of
functional connectivity,voxel-level activities,misses
brain representation learning,cognitive processes,key step toward understanding
brain representation learning,diagnosis of neurological diseases/disorders,key step toward
BRAINMIXER,adaptive temporal pooling,uses
BRAINMIXER,outstanding performance,attains
BRAINMIXER,14 baselines,outperforms
neuroimaging,human brain,provides information to understand
neuroimaging data,high-dimensional and complex,is
representation learning,machine learning methods,serves as backbone of
representation learning,low-dimensional representation,provides
low-dimensional representation,brain components,represents
low-dimensional representation,understanding behaviors,enables
low-dimensional representation,brain functions,enables understanding of
low-dimensional representation,detecting neurological diseases,enables
neuroimaging literature,voxel-level,focuses on spatial scale
neuroimaging literature,network-level,focuses on spatial scale
neuroimaging literature,multivariate pattern analysis (MVPA),focuses on analysis approach
neuroimaging literature,functional connectivity,focuses on analysis approach
MVPA (Multi-Voxel Pattern Analysis),voxel-level scale,employed at
MVPA (Multi-Voxel Pattern Analysis),task-based studies,used in
MVPA (Multi-Voxel Pattern Analysis),neural activities,associates with
MVPA (Multi-Voxel Pattern Analysis),cognitive functions,associated with
MVPA (Multi-Voxel Pattern Analysis),behaviors,associated with
MVPA (Multi-Voxel Pattern Analysis),stimuli,associated with
MVPA (Multi-Voxel Pattern Analysis),detection of neurological conditions,applied to
MVPA (Multi-Voxel Pattern Analysis),neurofeedback interventions,applied to
MVPA (Multi-Voxel Pattern Analysis),decoding neural responses to visual stimuli,applied to
MVPA (Multi-Voxel Pattern Analysis),classifying cognitive states,applied to
functional connectivity analysis,temporal correlations,focuses on
functional connectivity analysis,statistical dependencies,focuses on
functional connectivity analysis,different brain regions,assesses activity between
functional connectivity analysis,larger scales,operates at
functional connectivity analysis,task-related network dynamics,used to study
functional connectivity analysis,effects of neurological disorders on brain connectivity,used to study
voxel-level scale,functional connectivity scale,provides complementary information to
existing studies,single scale,suffer from limitation of studying at
