node_1,node_2,edge
Deep learning models,spurious features,overfit and memorize
spurious features,training dataset,present in
spurious features,learning task,uncorrelated with
memorization of spurious features,stability of the model,characterized via
memorization of spurious features,feature alignment,characterized via
stability of the model,individual training samples,with respect to
feature alignment,spurious feature,between
feature alignment,full sample,between
feature alignment,random features (RF),characterized for
feature alignment,neural tangent kernel (NTK) regression,characterized for
memorization of spurious features,generalization capability,weakens as increases
feature alignment,model,reveals role of
feature alignment,activation function,reveals role of
theory,standard datasets,tested on
training data,sampling distribution,not predictive for
empirical effort,mitigating phenomenon,aimed at
solving problem,robustness to distribution-shift,ranges to
solving problem,fairness,ranges to
solving problem,data-privacy,ranges to
overfitting spurious features,memorization,related to
memorization,accuracy,optimal for
over-parameterized models,0 training error,exhibit best performance when achieving
benign overfitting,in-distribution generalization,characterizes role of
interpolating models,random features,such as
interpolating models,neural tangent kernels,such as
theoretical machinery,memorization of spurious features,does not cover
noise,labels,modelled in
noise,input data,rather than in
practical work,spurious features,tries to understand impact of
spurious features,core features,disentangled from
spurious features,core features,disentangled from
deep learning models,spurious features,impacted by
theoretical approaches,learning,understand how impacted by complexity of features
learning,complexity of features,impacted by
learning,degree of overparameterization,impacted by
neural networks,features not inherently relevant,use
positive spurious correlations,spurious features,cause
spurious features,memorization,lead to
our paper,memorization of spurious features,offers framework to understand and quantify
sample z,spurious features,composed of
sample z,true label,spurious features not correlated with
