node_1,node_2,edge
Large Language Models (LLMs),long-context processing,ability to comprehend and process
Dual Chunk Attention (DCA),LLAMA2 70B,enables support for context windows of more than 100k tokens
Dual Chunk Attention (DCA),attention computation,decomposes for long sequences into chunk-based modules
Dual Chunk Attention (DCA),Intra-Chunk,captures relative positional information of tokens within the same chunk
Dual Chunk Attention (DCA),Inter-Chunk,captures relative positional information of tokens across distinct chunks
Dual Chunk Attention (DCA),Flash Attention,integrates seamlessly with
Dual Chunk Attention (DCA),finetuned models,achieves comparable or better performance on long-context tasks
training-free 70B model,gpt-3.5-16k,attains 94% of the performance
Dual Chunk Attention (DCA),continual training,does not require
large language models (LLMs),long-context information,require ability to comprehend and process
long-context ability,short-context model,can be improved by further training on long text sequences
long text data,Llama2 Long,trained from a mix of
Llama2 Long,original Llama2 pre-training corpus,trained from a mix of
open-source models,proprietary counterparts,fall short in performance compared to
long-context finetuning,prohibitive cost,has
limited accessibility,training corpora,of
open-source LLMs,proprietary counterparts,fall short in performance compared to
open-source LLMs,smaller sizes,generally available in
training-free methods,context scaling,do not require additional training for
LM-infinite,training-free methods,is a recent example of
StreamingLLM,training-free methods,is a recent example of
LLMs trained on limited context window,text of infinite length,can efficiently process
training-free methods,local information,selectively retain essential
training-free methods,low Perplexity (PPL),effectively maintain
training-free methods,long-range dependencies,lose
extrapolation techniques,sequence lengths beyond training,effectively extrapolate to
Position Interpolation (PI),Llama-based models,is a popular technique for
NTK-Aware RoPE (NTK),Llama-based models,is a popular technique for
Position Interpolation (PI),Rotary Positional Encodings (RoPE),is an adaptation of
NTK-Aware RoPE (NTK),Rotary Positional Encodings (RoPE),is an adaptation of
scaled positional encodings,original RoPE,necessitate fewer finetuning steps compared to
YaRN,training costs,further reduces
