node_1,node_2,edge
Distributional shifts,Predictive models,affect the performance of
Fine-grained robust conformal inference,Uncertainty quantification,introduces a framework for
Covariate distribution shift,Conditional relationship shift,distinguished from
Training samples,Covariate distribution shift,reweighted to adjust for
Conditional distribution shift,f-divergence ball,bounded in
Conformal inference,Distributionally robust learning,combined with
Algorithm,Prediction intervals,outputs valid and efficient
Sensitivity analysis,Individual treatment effects,applied to
Hidden confounding,Sensitivity analysis,addressed in
predictive models,high-stakes settings,employed in
predictive models,calibrated uncertainty quantification,requires
uncertainty quantification,prediction set,provides
prediction set,true outcome,contains
conformal prediction,prediction sets,constructs
conformal prediction,valid prediction sets,generates
valid prediction sets,true outcome,guaranteed to include
conformal prediction,exchangeability,requires
exchangeability,i.i.d.,equivalent to
distributional shifts,exchangeability,breaks
distributional shifts,conformal prediction,invalidates
Conformal Prediction (CP),exchangeability/i.i.d. assumption,depends on
distributional shifts,exchangeability/i.i.d. assumption,breaks
Conformal Prediction (CP),valid prediction sets,delivers
robust CP method,Cauchois et al. (2023),proposed by
robust CP method,prediction sets,outputs
prediction sets,target distribution,valid when ranges within neighborhood of training distribution
training distribution,"PX,Y",denoted as
target distribution,"QX,Y",denoted as
Cauchois et al. (2023),f-divergence,assumes bounded by parameter ρ
f-divergence,"QX,Y and PX,Y",measures distance between
Cauchois et al. (2023),"worst-case QX,Y",provides guarantees for
Cauchois et al. (2023) method,"joint distributional shift of (X, Y)",provides robustness against
Cauchois et al. (2023) method,shift in X and shift in Y|X,makes no distinction between
different types of distributional shifts,different tasks,appear in
different types of distributional shifts,different consequences,result in
Cauchois et al. (2023) method,overly conservative,can be in practice
