node_1,node_2,edge
Parameter-free stochastic optimization,Fully parameter-free methods,studies the existence of
Fully parameter-free methods,Optimally tuned methods,achieve convergence rates competitive with
Existing parameter-free methods,True problem parameters,require non-trivial knowledge of
Non-convex setting,Hyperparameter search technique,results in a fully parameter-free method
Hyperparameter search technique,State-of-the-art algorithms,outperforms
Convex setting,Noisy function values,provides similar result with access to
Stochastic gradients,Fully parameter-free stochastic convex optimization,lower bound renders infeasible
Lower bound,Partially parameter-free method,provides method up to limit indicated by
Stochastic first-order optimization,Stochastic gradient descent (SGD),"is cornerstone of, with SGD as go-to method"
gradient descent (SGD),statistical learning problems,is a go-to method for addressing
SGD,step-size,has algorithmic parameter
tuning algorithmic parameters,SGD,is a challenging task for
adaptive methods,SGD,emerged to address tuning challenges of
AdaGrad,adaptive methods,is an example of
Adam,adaptive methods,is an example of
adaptive methods,learning rates,self-tune based on gradient statistics
parameter-free methods,tuning algorithmic parameters,aim to minimize knowledge required for
parameter-free methods,automatically adapting to complexity,focus on
parameter-free methods,optimal solution,adapt to distance to
advanced techniques,online learning,from literature on
advanced techniques,stochastic optimization,used in via online-to-batch reduction
online-to-batch reduction,stochastic optimization,enables use of online techniques in
recent works,practical performance,achieved advancements in improving
recent works,finely-tuned methods,narrowing gap to
adaptive methods,strong theoretical guarantees,enjoy
parameter-free methods,strong theoretical guarantees,enjoy
adaptive methods,non-trivial knowledge,demand
parameter-free methods,non-trivial knowledge,demand
non-trivial knowledge,smoothness parameter,includes knowledge about
non-trivial knowledge,initial suboptimality,includes knowledge about
non-convex adaptive methods,smoothness parameter,require knowledge of
self-tuning methods,initial suboptimality,require knowledge of
parameter-free convex optimization algorithms,bound on stochastic gradient norms,require
parameter-free convex optimization algorithms,bound on distance to optimal solution,require
online optimization algorithms,bound on distance to optimal solution,require
fully parameter-free method,non-trivial assumptions,absent in literature without
this paper,stochastic optimization,explores question in
