node_1,node_2,edge
Learning by Reconstruction,Perception,misaligned with
Learning by Reconstruction,Uninformative Features,produces
Reconstruction,Input Space,operates in
Top Subspace (explaining 90% pixel variance),Supervised TinyImagenet,achieves 45% test accuracy on
Bottom Subspace (explaining 20% pixel variance),Supervised TinyImagenet,achieves 55% test accuracy on
Learning by Reconstruction,Features for Perception,learns last
Learning by Denoising,Misalignment,can alleviate
Additive Gaussian Noise,Perception Task,never beneficial for
Masking Noise,Learning by Denoising,is a beneficial noise strategy for
deep learning,self-contained methodology,provides
deep learning,intelligible and universal representations of data,learns
nonlinear transformation,parsimonious representation,produces
parsimonious representation,downstream tasks,solves
supervised learning,representation,learns
representation,observed data,maps
representation,provided labels,maps to
features for reconstruction,perception,are uninformative for
perception features,learning process,are learned last
training loss evolution,reconstructed training images,of
reconstructed training images,deep Autoencoder,from
deep Autoencoder,eigenspace of original data,projected onto
top eigenspace,learning process,learned first
features most useful for perception,learning process,learned finally
performance on perception task,training duration,increases with
Reconstruction-based methods,latent representations,produce
latent representations,original data,sufficient to recover
Reconstruction-based methods,Denoising Auto-Encoders,includes
Reconstruction-based methods,Variational Auto-Encoders,includes
Reconstruction-based methods,Masked Auto-Encoders,includes
Reconstruction-based methods,Autoregressive models,includes
score matching,surrogate supervised task,solved by setting up
surrogate supervised task,classifying observed samples from noise,involves
Self-Supervised Learning (SSL),contrastive methods,includes
contrastive methods,generalized versions of score matching,can be thought of as
contrastive methods,Noise Contrastive Estimation,generalized versions of
Self-Supervised Learning (SSL),invariance term,combines
Self-Supervised Learning (SSL),anti-collapse term,combines
invariance term,representations of data known to be semantically similar,brings together
anti-collapse term,all representations become similar,makes sure not
learning by reconstruction,uninformative features for perception,produces
performance on perception task,reconstructed samples look appealing,keep increasing long after
