node_1,node_2,edge
Prompt Sketching,Large Language Models,is a prompting paradigm for
Prompt Sketching,template,predicts values for multiple variables in
Prompt Sketching,decoding procedure,adapts
Prompt Sketching,sequential prompting schemes,outperforms
sequential prompting schemes,direct asking,includes
sequential prompting schemes,chain-of-thought,includes
Prompt Sketching,intermediate results,produces
Prompt Sketching,reasoning framework,provides via intermediate instructions
Prompt Sketching,zero-shot setting,is evaluated in
Prompt Sketching,LLM benchmarking tasks,outperforms existing methods on 7 out of 8
LLM benchmarking tasks,state tracking,includes
LLM benchmarking tasks,arithmetic reasoning,includes
LLM benchmarking tasks,general question answering,includes
Luca Beurer-Kellner,Prompt Sketching,is an author of
Mark Niklas Mueller,Prompt Sketching,is an author of
Marc Fischer,Prompt Sketching,is an author of
Martin Vechev,Prompt Sketching,is an author of
large language models (LLMs),prompting strategies,are the subject of
prompting strategies,simple trigger phrases,focused on
LLM interactions,"conversational, multi-part, and template-guided",are characterized as
template or grammar,LLM interactions,constrains
LLM reasoning,template of pre-defined steps,controlled by filling in
dclib,sketch-aware decoders,powers
dclib,lmql,is part of
decoding with (hard) constraints,key challenge,is identified as a
hard requirements,dashed list,example of satisfying
template-guided inference,hard constraints,constructs template from
template-guided inference,LLM,leaves holes for to fill
unconstrained model,placeholder,called for each
stop-and-go inference,template,feeds incrementally
stop-and-go inference,stopping conditions,enforces for each call
stop-and-go inference,output formatting,effective for
LLM,stochastic behavior,remains inherently
prompting and fine-tuning,hard requirements,insufficient to guarantee
