node_1,node_2,edge
Subset selection,Core-set selection,is a type of
One-shot subset selection,Subset selection,is a variant of
Feature similarity,Label variability,are balanced in BOSS method
BOSS,One-shot subset selection,is a method for
BOSS,Feature similarity,considers
BOSS,Label variability,considers
Diversity,Difficulty,are balanced in optimal subset
Balanced core-set loss bound,Optimal subset,theoretically justifies
Subset size,Balanced core-set loss bound,influences
Beta-scoring importance function,Diversity,controls balance of
Beta-scoring importance function,Difficulty,controls balance of
Beta-scoring importance function,diversity and difficulty,controls the optimal balance of
BOSS,Beta-scoring importance function,uses
deep learning,large amounts of data,requires
deep learning,increased resource consumption,comes at the cost of
subset selection,core-set selection,also known as
subset selection,candidate data points,finds
subset selection,comparable performance,aims to achieve
subset selection,decrease resource consumption,helps
subsets,training epoch,chosen dynamically during
selection algorithm,overall training duration,can significantly increase
selection algorithm,training duration,increases
dynamic subset selection,forward pass,requires
dynamic subset selection,large dataset,incurs high cost for
continual learning,full set data,only available once
continual learning,dynamic subset selection,not possible
one-shot subset selection,dynamic selection,contrary to
one-shot subset selection,subset,picks once
one-shot subset selection,training process,uses subset for entire
one-shot subset selection,full dataset,may initialize model with
one-shot subset selection,time,accounted for only once
one-shot subset selection,large full-set data,not required to store after selection
subset selection,regression,used for
subset selection,classification,used for
subset selection,clustering,used for
coreset selection,data-efficient deep learning,explored for
