node_1,node_2,edge
Online Matrix Completion,low rank matrix completion,is a specific setting of
Online Matrix Completion,M users,involves
Online Matrix Completion,N items,involves
Online Matrix Completion,T rounds,involves
Online Matrix Completion,reward matrix R,aims to recover
reward matrix R,rank-r,has property
hott items assumption,PHASEDCLUSTERELIM,is used by
hott items assumption,DETERMINANTELIM,is used by
PHASEDCLUSTERELIM,S = 1,operates under condition
PHASEDCLUSTERELIM,near-optimal per-user regret,achieves
DETERMINANTELIM,S = r,operates under condition
DETERMINANTELIM,regret guarantee,provides
collaboration among users,PHASEDCLUSTERELIM,is used by
collaboration among users,DETERMINANTELIM,is used by
PHASEDCLUSTERELIM,incoherence/smoothness assumptions,requires
DETERMINANTELIM,milder assumptions,requires
Collaborative Filtering,matrix completion,is a framework based on
Collaborative Filtering,online problem,is typically an
recommendation system,Collaborative Filtering,uses
exploration,exploitation,tension between
online matrix completion,Multi-Armed Bandit (MAB) optimization,is equivalent to
Multi-Armed Bandit (MAB) optimization,multiple agents,involves
multiple agents,users,represent
common set of items,arms,represent
users,items,collaborate to eliminate sub-optimal
collaboration among users,sub-optimal items,jointly eliminates
multiple agents,users,represent
items,arms,represent
online matrix completion,bandit feedback,under
reward matrix R,users,associated with
reward matrix R,items,associated with
recommended item,user,recommended to
noisy rewards,recommended item-user pairs,observed for
latent structure,optimal algorithms,makes challenging
greedy algorithms,low rank of reward matrix,exploit
collaboration among users,effective number of items per user,reduces
greedy nature,regret guarantee,sub-optimal dependence on
optimal algorithm,regret guarantee,achieves
optimal algorithm,rank-1 reward matrices,proposed for
