node_1,node_2,edge
Monotone Individual Fairness,online learning,is a problem in
online learning,individual fairness,incorporates
individual fairness,similar individuals,requires treating similarly
online learner,predictive accuracy,strives to maximize
online learner,fairness violations,aims to minimize
Gillen et al. (2018),Bechavod et al. (2020),extended by
human auditors,fairness violations,provide feedback on
monotone aggregation functions,auditing schemes,used to aggregate feedback in
monotone aggregation functions,useful characterization,proven for
oracle-efficient algorithm,regret,guarantees bound of O(T^(3/4)) for
oracle-efficient algorithm,fairness violations,guarantees bound of O(T^(3/4)) for
online classification setting,label feedback,available for positively-predicted individuals only
online classification setting,algorithm,guarantees bound of O(T^(5/6)) for regret and fairness violations
previous algorithms,optimization oracle,required T calls every round
new algorithms,computational efficiency,offer significant improvements in
algorithmic fairness,statistical group fairness,is a subfield of
statistical group fairness,protected attributes,defines groups based on
statistical group fairness,predictor statistic,aims to equalize
predictor statistic,overall error rate,includes
predictor statistic,false positive rate,includes
group fairness,individual guarantees,fails to provide
group fairness,aggregate nature,is characterized by
Dwork et al. (2012),catalog of evils,pointed out
algorithmic fairness,statistical data generation assumptions,follows
statistical data generation assumptions,i.i.d. fashion,assumes data arrives in
algorithmic fairness,statistical data generation assumptions,follows
statistical data generation assumptions,i.i.d. fashion,assumes data points arrive in
i.i.d. fashion,batch setting,applies to
i.i.d. fashion,online setting,applies to
i.i.d. fashion,bandit setting,applies to
fairness,strategic effects,may be affected by
strategic effects,individuals modifying features,includes
strategic effects,individuals deciding whether to apply,includes
fairness,distribution shifts over time,may be affected by
distribution shifts over time,ability to repay a loan,affects
fairness,adaptivity to previous decisions,may be affected by
adaptivity to previous decisions,receiving a loan,example of
fairness,one-sided label feedback,may be affected by
one-sided label feedback,college tracking admitted students,example of
Dwork et al. (2012),individual fairness,advocates for
individual fairness,similar individuals should be treated similarly,asserts
similar individuals should be treated similarly,Lipschitz condition,requires
Lipschitz condition,randomized predictor,applies to
