node_1,node_2,edge
Differentiable Weightless Neural Network (DWN),interconnected lookup tables,based on
DWN,Extended Finite Difference technique,enabled by
Extended Finite Difference technique,approximate differentiation of binary values,used for
DWN,Learnable Mapping,improves accuracy and efficiency
DWN,Learnable Reduction,improves accuracy and efficiency
DWN,Spectral Regularization,improves accuracy and efficiency
DWN,FPGA-based hardware accelerator,evaluated in context of
DWN,low-power microcontroller,evaluated in context of
DWN,ultra-low-cost chips,evaluated in context of
FPGA-based hardware accelerator,"superior latency, throughput, energy efficiency, model area",demonstrates
low-power microcontroller,preferable accuracy to XGBoost,achieves
ultra-low-cost chips,small models,outperforms in accuracy and projected hardware area
DWN,tabular datasets,compares favorably against leading approaches
DWN,edge-compatible high-throughput neural networks,positioned as a pioneering solution for
deep learning,computational efficiency,optimizing computational efficiency is a critical challenge in deep learning
computational efficiency,model pruning,model pruning is an innovation to mitigate computational demands
computational efficiency,quantization,quantization is an innovation to mitigate computational demands
computational efficiency,sparse neural networks,sparse neural networks are an innovation to mitigate computational demands
DWN,lookup tables,DWNs perform computation using multiple layers of directly chained lookup tables
lookup tables,thermometer encoding,inputs are binarized using unary thermometer encoding to address lookup tables
thermometer encoding,tuples,binarized inputs are formed into tuples and concatenated
tuples,first layer of LUTs,tuples are concatenated to address the first layer of LUTs
binary LUT outputs,subsequent layers,binary LUT outputs are used to form addresses for subsequent layers
final layer of LUTs,output activations,outputs from the final layer of LUTs are summed to derive activations for each output class
LUTs,activations,summed to derive
layers of LUTs,arithmetic operations,no arithmetic operations performed between
multiplication-free architectures,binary neural networks (BNNs),includes
multiplication-free architectures,AddNets,includes
multiplication-free architectures,DeepShift,includes
multiplication-free models,weightless neural networks (WNNs),includes as a distinct category
weightless neural networks (WNNs),lookup tables (LUTs),use instead of weighted connections
lookup tables (LUTs),binary values,contain
WNNs,highly nonlinear behaviors,can represent
number of inputs to each LUT,n,is a hyperparameter
