node_1,node_2,edge
LLM agents,negotiation,are evaluated on
NEGOTIATIONARENA,LLM agents,evaluates and probes negotiation abilities of
NEGOTIATIONARENA,ultimatum games,implements scenario of
NEGOTIATIONARENA,trading games,implements scenario of
NEGOTIATIONARENA,price negotiations,implements scenario of
LLM agents,behavioral tactics,employ to boost negotiation outcomes
pretending to be desolate and desperate,LLM agents,is a behavioral tactic used by
pretending to be desolate and desperate,payoffs,improves by 20%
standard GPT-4,LLM agents,is negotiated against by
LLM agents,irrational negotiation behaviors,exhibit
irrational negotiation behaviors,humans,also appear in
LLM agents,negotiation,engage in
NEGOTIATIONARENA,LLM agents,provides environment to investigate interactions of
NEGOTIATIONARENA,theory of mind,enables new insights into
NEGOTIATIONARENA,irrationality,enables new insights into
NEGOTIATIONARENA,reasoning abilities,enables new insights into
negotiation,social dynamics,plays crucial role in
negotiation,bargaining approaches,involves strategizing
negotiation,communication,involves crafting
negotiation,offers,involves proposing
negotiation,personality,affected by
negotiation,emotions,affected by
LLM agents,tasks,are offloaded to
LLM agents,goals,fulfill
LLM agents,behaviors,exhibit
LLM agents,capabilities,possess
LLM agents,negotiations,explore behaviors and capabilities in
negotiation settings,agents,require comprehending tasks and communicating
capable negotiator,contextual understanding,requires
capable negotiator,theory of mind,requires
capable negotiator,rational decision-making,requires
capable negotiator,strategizing,requires
negotiation,assessing LLMs’ general capabilities,fruitful approach for
existing benchmarks,fixed set of questions,rely on assessing LLMs’ response to
negotiation,existing benchmarks,contrasts with
negotiation setting,dynamic change,allows for
Player Blue,Player Red,negotiates split of 100 dollars with
Player Red,Player Blue,proposes split of 100 dollars to
Player Blue,offer rejection,results in both losing all
