node_1,node_2,edge
Genie,generative interactive environment,is a
Genie,unlabelled Internet videos,trained from
Genie,action-controllable virtual worlds,generates
Genie,spatiotemporal video tokenizer,comprised of
Genie,autoregressive dynamics model,comprised of
Genie,latent action model,comprised of
Genie,foundation world model,can be considered
Genie,11B parameters,has
latent action space,training agents,facilitates
Genie,imitating behaviors from unseen videos,enables
generative AI,models,capable of generating novel and creative content
transformers,generative AI,breakthrough architecture driving generative AI
hardware advances,generative AI,enabling factor for generative AI
scaling models and datasets,generative AI,recent focus improving generative AI
generative AI,coherent conversational language,can generate
generative AI,crisp aesthetically pleasing images,can generate from text prompt
video generation,generative AI,emerging frontier for generative AI
Genie,generative model,is a type of
Genie,interactive environment,can be used as
Genie,user-provided latent action,takes at each time step to generate next frame
video generation,scale,benefits from
video generative models,language tools,gulf in interactions and engagement between
generative interactive environments,generative AI,new paradigm for
Genie,generative interactive environments,is an approach for
Genie,Internet gaming videos,trained from
Genie,latent action space,uses learned
latent action space,Internet videos,learned fully unsupervised from
Genie,text or image prompt,generates interactive environments from
