node_1,node_2,edge
batch size,iteration time,impacts
batch size,total sample complexity,does not change when nb ≲ d^(ℓ/2)
batch size,information exponent,optimal batch size depends on
SGD,two-layer neural networks,trains
Correlation loss SGD,time complexity,improves
Correlation loss SGD,auto-correlation terms,suppresses
training progress,low-dimensional ODEs,tracked by
batch size,d^(ℓ/2),optimal when nb ≲
large batch sizes,time complexity,detrimental when nb ≫ d^(ℓ/2)
Descent-based algorithms,Stochastic Gradient Descent (SGD),includes
Stochastic Gradient Descent (SGD),contemporary machine learning,backbone of
Stochastic Gradient Descent (SGD),mathematical understanding,subject of
shallow neural networks,recent progress,focus of
large width two-layer neural networks,convex optimization problem,mapped into
convex optimization problem,space of probability measures of weights,over
mean-field analysis,large width two-layer neural networks,analyzes
theoretical effort,class of functions,describes
class of functions,SGD,learned by
SGD,class of functions,learns
SGD,time complexity,has
SGD,computational complexity,has
isotropic distributions,multi-index models,focus of analysis
information exponent,time complexity of SGD,determines scaling with covariates dimension
leap complexity,multi-index targets,determines scaling
batch size,overall complexity,affects
parallelization,overall complexity,affects
sample-splitting,overall complexity,affects
one-pass SGD,time/complexity tradeoff,characterizes
generalized linear models,training data features,adapts to
two-layer neural networks,training data features,adapts to
