node_1,node_2,edge
Stochastic Gradient Descent (SGD),long-run distribution,has
long-run distribution,Boltzmann–Gibbs distribution,resembles
Boltzmann–Gibbs distribution,equilibrium thermodynamics,associated with
step-size,temperature,corresponds to
objective function,energy levels,determines
noise statistics,energy levels,determines
critical region,non-critical region,visited exponentially more often than
SGD iterates,minimum energy state,exponentially concentrated around
minimum energy state,global minimum of the objective,does not always coincide with
connected components of critical points,energy level,visited with frequency exponentially proportional to
component of local maximizers or saddle points,component of local minimizers,dominated by
stochastic gradient descent (SGD),local minimizers,visits exponentially more often
stochastic gradient descent (SGD),machine learning architectures,used for training
stochastic gradient descent (SGD),smooth function,optimizes
stochastic gradient descent (SGD),update rule,defined by
update rule,step-size,depends on
update rule,stochastic gradient,uses
stochastic gradient descent (SGD),convex objectives,studied for
stochastic gradient descent (SGD),non-convex objectives,studied for
non-convex objectives,machine learning,most relevant for
SGD,bounds,provides
SGD,gradient norm,bounds expectation of sum of squared gradients
SGD,critical points,converges to
loss landscape,deep learning,is complicated in
loss landscape,spurious saddle points,contains
loss landscape,local minima,contains fewer than saddle points
spurious saddle points,local minima,exponentially larger in number than
strict saddle points,SGD,time spent near them is small
SGD,step-size,depends on
SGD,function structure,depends on
