node_1,node_2,edge
Scaling Simulation,In-The-Wild Robot Manipulation,is neither necessary nor sufficient for
Robotic Simulations,Real-World Manipulation,are critiqued for limitations in
General-Purpose Real-World Robotic Manipulation Agents,Human Preferences,must be compliant with
Simulation,Real-World Manipulation,has limitations for
Real-World Manipulation,Diverse Real-World Deployment,presents challenges for
Scaling Simulation,Real-World Manipulation Challenges,does not solve
Robots,Humans,interact with in everyday tasks
Robot Manipulators,Zero-Shot Generalization,should exhibit
robot manipulators,zero-shot generalization capabilities,exhibit
robot manipulators,task performance,should perform task without self-practice or fine-tuning
robot manipulators,human preferences,should respect
robot manipulators,safe intermediate scenarios,should avoid creating unsafe
machine learning advances,robot hardware design,helped move from Utopian existence to practical possibility
computer vision,natural language processing (NLP),similar advances witnessed in
large datasets,deep learning algorithms,positively impacted research areas
robot learning,computer vision and NLP,different success story
robot learning approaches,manipulation,underwhelming success in
zero-shot approaches,diverse contexts,do not work in
robot learning approaches,manipulation,applied to
zero-shot deployability,manipulation,desideratum of
compliance with human preferences,manipulation,desideratum of
Segment-Anything,vision,successful in
GPT-4,NLP,successful in
robot manipulation papers,restrictive scenarios,conducted in
generalization,robotics,lacking in
robotics tasks,reasoning over time horizons,involves
state-space,NLP tasks,higher-dimensional than
real world,dynamic,is
machine learning,robot manipulation,has potential to transform
policies,diverse real-world scenarios,generalize across
