node_1,node_2,edge
Differentially Private Domain Adaptation,supervised domain adaptation,is a type of
Differentially Private Domain Adaptation,theoretical guarantees,has
public source,private target domain,is adapted from
supervised domain adaptation,public source,uses
supervised domain adaptation,private target domain,targets
"(ε, δ)-differentially private adaptation algorithms",supervised adaptation,are designed for
first algorithm,regression with linear predictors,is designed for
first algorithm,convex optimization problem,solves
second algorithm,loss functions,handles
loss functions,non-convex but Lipschitz and smooth,may be
non-private versions,state-of-the-art performance,match
private algorithms,non-private counterparts,remains close to
supervised domain adaptation,target domain,uses labeled data from
supervised domain adaptation,source domain,uses labeled data from
target domain,source domain,is somewhat close to
labeled data,target domain,can be sensitive and subject to privacy constraints
privacy constraints,classifier,requires training with privacy guarantees
public domain,source domain,can be a source of large amount of labeled data
differential privacy,classifier,used to privately learn
differential privacy,supervised domain adaptation,used to design algorithm for
supervised domain adaptation,differentially private algorithm,devised with theoretical guarantees
domain adaptation,discrepancy,analyzed using
discrepancy,divergence measure,is a key
supervised adaptation,reweighting,relies on
reweighting,source and target labeled samples,applied to
reweighting methods,predictor selected,depend on
"Awasthi, Cortes, and Mohri (2024)",supervised adaptation,gave theoretical analysis of
