node_1,node_2,edge
Dα seeding algorithm,k-means++,also known as when α = 2
Dα seeding algorithm,"(k,α)-clustering cost",guarantees O(2^(2α) · log k)-approximate solution for
Dα seeding algorithm,Arthur and Vassilvitskii (2007),introduced by
"Balcan, Dick, and White (2018)",Dα seeding with α > 2,observed experimentally that using leads to better k-means solution
Dα seeding with α > 2,standard k-means objective,improves approximation for
Dα seeding,approximation factor,guarantees in expectation an
approximation factor,standard k-means cost,with respect to
approximation factor,σ_max and σ_min,depends on ratio (σ_max/σ_min)^(2-4/α)
approximation factor,g_α,depends on parameter g_α capturing cluster concentration
approximation factor,ℓ,depends on number of distinct mixing weights ℓ
underlying clustering,mixture of k Gaussian distributions,defined by
mixture of k Gaussian distributions,equal cluster variance,with up to constant-factor
Gaussian distributions,equal cluster variance,characterized by
cluster variance,constant-factor,equal up to
mixing weights,constant number,has
mixing weights,arbitrary,can be
constant α > 2,O-approximation,yields
α = Θ(log log k),O(log log k)^3-approximation,yields
Dα seeding,experimental validation,subject of
k-means problem,NP-hard,is
k-means problem,clustering,is a formulation of
k-means problem,NP-hard,is
k-means problem,heuristics,solved by
k-means problem,approximation algorithms,solved by
Lloyd’s algorithm,k-means problem,heuristic for
Lloyd’s algorithm,Expectation Maximization (EM),uses
Lloyd’s algorithm,local optimum,finds
Lloyd’s algorithm,exponential run time,may have
k-means++ method,initial centers,selects
k-means++ method,D2 seeding,also called
D2 seeding,squared distance,selects center proportional to
k-means++ method,O(log k) approximation,achieves
Arthur & Vassilvitskii (2007),k-means++ method,proposed
