node_1,node_2,edge
O-INFORMATION,information synergy and redundancy,based on
O-INFORMATION,multivariate systems,quantifies synergy-redundancy balance in
SΩI,O-INFORMATION,computes
Mutual Information,random variables,measures non-linear dependence between
Mutual Information,pairwise interactions,restricted to
information synergy and redundancy,high-order dependencies,crucial for understanding
classical MI,systems composed by more than two variables,suffers from limitations when analyzing
Partial Information Decomposition (PID),classical MI,overcomes limitations of
Partial Information Decomposition (PID),multivariate systems,extends applicability to
Partial Information Decomposition (PID),overall MI,decomposes
overall MI,set of source variables,between
overall MI,target variable,between
PID,non-negative constituents,decomposes into
PID,redundancy,quantifies
PID,synergy,quantifies
PID,unique information,quantifies
redundancy,subsets of the partition,quantifies information shared between
synergy,subsets of the partition,describes information about
Redundancy,subsets of the partition,quantifies information shared between
Synergy,subsets of the partition,describes additional information from joint observation
Uniqueness,subset,quantifies information lost when subset is not observed
PID method,source system,requires partitioning into all possible subsets
PID method,target variable,computes information decomposition with respect to
Barrett (2014),synergy and redundancy,reformulated for Gaussian systems
Finn & Lizier (2020),algebraic structure of information sharing,used to define PID
Ay et al. (2019),cooperative game theory,relied on for PID
Rosas et al. (2020),data privacy and disclosure,built on concepts related to
Kolchinsky (2019),set theory,used for PID
van Enk (2023),scalability issues,dealt with by pooling probabilities
Gutknecht et al. (2023),mereological formulation,used for PID
Makkeh et al. (2021); Ehrlich et al. (2023),methods based on exclusions,advocated for
