node_1,node_2,edge
flat minima,sharp minima,contrasted with
flat minima,trace of the Hessian,measured by
flat minima,approximate flat minima,formalized as
gradient-based algorithm,approximate flat local minimum,finds
gradient-based algorithm,randomly perturbed iterates,uses gradients from
randomly perturbed iterates,flatter minima,estimates direction to
sharpness-aware minimization,faster algorithm,inspires
empirical risk,cost function,is a type of
training loss function,local minima,has continuum of
flatness of minima,prediction performance,influences
minima,prediction performance,influences
flatness,minima,property of
flat minima,optimization methods,targeted by
flat minima,empirical success,associated with
flat minima,theoretical domains,studied in
flat minima,empirical domains,studied in
flat minima,upper complexity bounds,subject of
flat minima,definition,has
sharpness-aware minimization (SAM),deep neural network models,improves prediction performance of
sharpness-aware minimization (SAM),image classification problems,improves prediction performance for
sharpness-aware minimization (SAM),language processing problems,improves prediction performance for
flatness of minima,language model pretraining,serves as a more reliable predictor of model efficacy than pretraining loss
flat minima,optimization,is a desirable attribute for
flat minima,overparameterized models,corresponds to true solutions in low-rank matrix recovery tasks for
flat minima,low-rank matrix recovery tasks,leads to better generalization in
flat minima,deep linear networks,yields superior predictive performance for
flat minima,nonconvex problems with multiple minima,yields superior predictive performance in
flat minima,pretraining,has benefits in
