node_1,node_2,edge
Policy Evaluation,Average Reward Reinforcement Learning,is a problem in
Asymptotic Variance,Average Reward Reinforcement Learning,is a risk measure used in
Temporal-Difference (TD) Algorithm,Policy Evaluation,is designed for
Linear Stochastic Approximation,Temporal-Difference (TD) Algorithm,is based on
Poisson Equation,Asymptotic Variance,provides an equivalent formulation for
Tabular Setting,Policy Evaluation,is a setting for
Linear Function Approximation,Policy Evaluation,is a setting for
Finite Time Convergence Rate,Temporal-Difference (TD) Algorithm,is established for
Actor-Critic Algorithms,Variance-Constrained RL,are developed for
Markov Chain,Asymptotic Variance,has an asymptotic variance estimated by
Average Reward Markov Decision Process (MDP),Reinforcement Learning,is considered in
Policy,Average Reward Markov Decision Process (MDP),specifies actions in
MDP,policy,specifies how actions are chosen in a given state
average reward RL problem,policy,aims to find a policy that maximizes long run average reward
risk-sensitive RL,risk measure,incorporates a risk measure in the objective or as a constraint
portfolio optimization problem,investment strategy,objective is to find an investment strategy that maximizes return while controlling variability
risk-sensitive MDPs,variance,variance is a risk measure considered in risk-sensitive MDPs
risk-sensitive MDPs,conditional value-at-risk,conditional value-at-risk is a risk measure considered in risk-sensitive MDPs
risk-sensitive MDPs,exponential utility,exponential utility is a risk measure considered in risk-sensitive MDPs
conditional value-at-risk,Chow & Ghavamzadeh (2014),introduced by
exponential utility,Whittle (1990),introduced by
coherent risk measures,Tamar et al. (2015),general class introduced by
cumulative prospect theory,Prashanth et al. (2016),introduced by
cumulative prospect theory,coherent risk measures,is not coherent
variance,risk measure,is a popular
variance,mean-variance tradeoff,central to
mean-variance tradeoff,Markowitz (1952),introduced by
mean-variance tradeoff,MDP contexts,later considered in
exponential utility formulation,Arrow (1971),introduced by
exponential utility formulation,Howard & Matheson (1972),introduced by
constrained formulation,exponential utility formulation,preferred over
mean-variance tradeoff,bound on the variance,controlled directly through
exponential utility formulation,feature-based representations,does not extend easily to
exponential utility formulation,function approximation,does not extend easily to
