node_1,node_2,edge
Neural Networks,Distributional Simplicity Bias (DSB),exhibit
Distributional Simplicity Bias (DSB),low-order moments of the data distribution,posits that neural networks learn first
Neural Networks,maximum-entropy distributions,learn to perform well on early in training
Neural Networks,higher-order correlations,learn later in training
DSB,discrete domains,extended to
token n-gram frequencies,moments of embedding vectors,equivalent to
DSB,LLMs,empirical evidence found in
optimal transport methods,low-order statistics of one class of images,used to surgically edit
early-training networks,edited images,treat as if drawn from target class
neural networks,zero training loss,can achieve
neural networks,random behavior on test set,can exhibit
distributional simplicity bias (DSB),neural networks,explains behavior of
distributional simplicity bias (DSB),lower-order statistics,involves learning
lower-order statistics,mean and (co)variance,includes
higher-order statistics,(co)skewness or (co)kurtosis,includes
distributional simplicity bias (DSB),higher-order statistics,learned after lower-order statistics
Refinetti et al. (2023),distributional simplicity bias (DSB),provided evidence for
Refinetti et al. (2023),synthetic datasets,trained networks on
synthetic datasets,real data,act as approximations to
early checkpoints,real data,perform as well as checkpoints trained on real data
our work,Refinetti et al. (2023),builds on by inverting experimental setup
our work,real datasets,trains models on
our work,synthetic data,tests models on
synthetic data,statistics of different orders,probes reliance on
our work,distributional simplicity bias (DSB),motivates through Taylor expansion
DSB,Taylor expansion,motivated by
expected loss,Taylor expansion,expressed as sum over central moments via
model,statistics up to order k,sensitive to
model,higher-order statistics,robust to
criteria,model,quantify whether model uses statistics up to order k
synthetic data,criteria,used to investigate whether models satisfy
DSB,discrete domains,extended to
token n-gram frequencies,moments of sequences of embedding vectors,equivalent to
first k statistics of data from class A,class B,changed to match
model,modified data,classifies as class B when first k statistics match class B
model,deleting higher-order data statistics,unaffected by
