node_1,node_2,edge
Collaborative Multi-Agent Heterogeneous Multi-Armed Bandits,N agents,consists of
N agents,M stochastic multi-armed bandits,each agent learns one of
agents,group cumulative regret,minimize
decentralized algorithms,collaboration,facilitate
per agent cumulative regret,group regret upper bounds,derived from
lower bounds,group regret,proved for
proposed algorithms,near-optimal behavior,demonstrates
multi-armed bandit (MAB) problem,sequential decision-making under uncertainty,is a paradigm for
MABs,exploration and exploitation,address tradeoff between
multi-agent versions,classical MAB,extensive study conducted on
multi-agent MABs,multiple agents,involves
agents,network,communicate over
Multi-agent MAB,single agent MAB algorithms,performs better than
Multi-agent MAB,agents,involves multiple
agents,bandit,learn
agents,network,communicate over
communication strategies,exploration of arms,allow efficient
agents,stochastic MABs,learn
stochastic MABs,arms,has K
group cumulative regret,individual cumulative regrets,sum of
agents,group cumulative regret,minimize
network,gossip matrix G,denoted by
gossip matrix G,agents,unknown to
agent,gossip matrix G,network among agents is denoted by
gossip matrix G,probability mass function,each row of G is a
context unaware scenario,agent,"in this scenario, agent can pull information from another agent"
agent,information pull,agent chooses to pull information from another agent
partially context aware scenario,agent,"in this scenario, agent can exchange messages with known agents"
agent,message exchange,agent can exchange messages with r-1 other agents
decentralized behavior,agent,agents behave in a decentralized manner
agent,arm pull,agent conducts arm pulls
agent,reward,agent obtains rewards from arm pulls
agent,message,agent receives messages from other agents
same context,same objective,agents with same context have
agent,recommendation,agents utilize recommendations from others
