node_1,node_2,edge
Distributed machine learning,Privacy,requires protection of
Distributed machine learning,Robustness,requires protection against faults and adversarial behaviors
Privacy,Robustness,synthesis is poorly understood
Privacy,Utility,fundamental trade-off with
Robustness,Utility,fundamental trade-off with
Privacy-Robustness-Utility Trilemma,Distributed learning,is a concept in
Differential privacy,Honest machines' data,protects against curious entities
Robustness,Adversarial machines,ensures protection against a fraction of
Mean estimation,Distributed DP,subject to
Mean estimation,Robustness constraints,subject to
High-dimensional robust aggregation rule,Distributed ML algorithm,is used in a new
High-dimensional robust aggregation rule,Error,amortizes dependence on dimension in
machine learning (ML),applications,plays a pivotal role in
machine learning (ML),distributed ML,is broken into sub-tasks by
distributed ML,sub-tasks,breaks a complex ML task into
distributed ML,server-based architecture,uses
server-based architecture,workers,includes
server-based architecture,coordinator (server),includes
workers,global model,collaboratively train
workers,datasets,train on their
distributed SGD (DSGD),stochastic gradient descent (SGD),is a distributed implementation of
distributed SGD (DSGD),server,maintains model updated by
server,gradients,averages
gradients,loss function,are associated with
workers,gradients,compute
workers,local datasets,sample random points from
DSGD,sensitive data,is useful for
DSGD,privacy,inherently ensures
DSGD,privacy,inherently ensures to an extent
ML model,membership inference,may be exposed to
ML model,model inversion attacks,may be exposed to
gradients and transient models,sensitive information,can be used to infer
gradients and transient models,reconstruct data points,can be used to
DSGD,robustness,concerns
faulty workers,prescribed algorithm,may deviate from
adversarial workers,incorrect gradients,may send
incorrect gradients,learning procedure,critically influence
