node_1,node_2,edge
robustness,machine learning,is a fundamental issue in
robustness,changes in input,concerns the effect of
natural language processing,embedding layer,contains
embedding layer,sequence of tokens,transforms
robustness,continuous inputs,is well-understood for
robustness,discrete changes,is less clear for
discrete changes,replacing a word,example of
embedding schemes,concatenation,includes
embedding schemes,TF-IDF,includes
embedding schemes,Paragraph Vector,includes
Paragraph Vector,doc2vec,also known as
robustness,Hölder sense,is proven in the
robustness,Lipschitz sense,is proven in the
robustness,Hamming distance,is with respect to
quantitative bounds,robustness,are provided for
constants,length of the document,are affected by
large language models,BERT,example of
large language models,GPT,example of
deep neural network,large language models,relies on
deep neural network,existence of issues,has known
DNNs,adversarial examples,known issue with
adversarial examples,image classification,popularized in context of
adversarial examples,NLP,also exist in
adversarial examples,robustness of models,sparked interest in
vectorization NLP pipelines,robustness,focus of paper
vectorization NLP pipelines,transformation of input document into vector representation,defined as
documents,ordered sequences of tokens,considered as
GPT 2,Byte Pair encoding,uses
Byte Pair encoding,tokens corresponding to sub-words,relies on
vectorization,concatenation of vectors,school of thought
concatenation of vectors,word vectors,often called
vectors,tokens,corresponds to each token of a document
word vectors,tokens,are vectors for individual words
word vectors,one-hot representations,can be one-hot representations
word vectors,mapping learned from data,can be obtained by
word2vec,word vectors,produces
word2vec,embedding space,transports semantic properties to
GloVe,word vectors,is a method to produce
EMF,word vectors,is a method to produce
WordPiece,word vectors,is a method to produce
FastText,word vectors,is a method to produce
ELMo,word vectors,is a method to produce
positional information,token embeddings,is typically added to
TF-IDF,words,takes as tokens
TF-IDF,frequencies,considers frequencies of each word
frequencies,overall importance term,are reweighted by
TF-IDF,text vectorization,is a historical approach to
Paragraph Vector,doc2vec,also known as
doc2vec,word2vec,extends the ideas of
skip-thought vectors,ad hoc approaches,is an example of
quick-thought,ad hoc approaches,is an example of
universal sentence encoder,ad hoc approaches,is an example of
vectorizers,small changes,are not designed to be robust to
