node_1,node_2,edge
Reward hypothesis,goals and purposes,posits that goals and purposes can be thought of as maximization of expected cumulative reward
Reward hypothesis,maximization of expected cumulative reward,defines goals and purposes as maximization of expected cumulative reward
Reward hypothesis,reinforcement learning (RL),implies that solving RL is sufficient for achieving goals
McCarthy's claim,intelligence,defines intelligence as the computational part of achieving goals
McCarthy's claim,goals,relates intelligence to achieving goals
Reward hypothesis,McCarthy's claim,together imply sufficiency of reinforcement learning for building AI
reward-is-enough hypothesis,intelligence,posits that intelligence subserves maximization of reward
reward-is-enough hypothesis,maximization of reward,defines intelligence as subserving reward maximization
Michael Bowling,John D. Martin,co-authors of the paper
David Abel,Will Dabney,co-authors of the paper
reward hypothesis,intelligence,posits that intelligence and associated abilities subserve maximization of reward
Sutton's earlier reward hypothesis,reward hypothesis,is a specific version of
RL,reward hypothesis,is considered necessary and sufficient for achieving goals and purposes
goals and purposes,maximizing expected cumulative reward,are achieved by systems that implicitly maximize expected cumulative reward
Sutton's original hypothesis,expressivity of reward,provides a starting point to question
Abel et al. (2021),goals and purposes,grounded the notion as an ordering over policies
Abel et al. (2021),Markov reward function,explored whether a Markov reward function could express orderings over policies
Markov reward function,orderings over policies,is unable to express every such ordering
behavioral definition of goals,unsatisfying conclusions,can lead to
steady-state type failures,behavioral definition of goals,is an example of
behavioral definition of goals,unsatisfying conclusions,can lead to
steady-state type failures,agent,requires experiencing unrealizable outcomes to achieve goal
behavioral conception of goals,computation,deflates the role of
McCarthy’s definition of intelligence,behavioral conception of goals,viewed through lens of
Shakerinava & Ravanbakhsh (2022),goals and purposes,ground in preference relations
preference relations,state-trajectories,over distributions of
von Neumann-Morgenstern utility axioms,preference relation,proposed axioms on
Shakerinava & Ravanbakhsh (2022),Pitis (2019),builds on work by
Pitis (2019),standard objectives of RL,analyzed from perspective of decision theory
Pitis (2019),state-action dependent discount factor,provides normative account for
state-action dependent discount factor,White (2017),developed by
fixed discount,all preferences we might consider rational,cannot capture
