node_1,node_2,edge
Instrumental variable (IV) methods,causal effects,used to estimate
Instrumental variable (IV) methods,unobserved confounding,addresses settings with
Instruments,treatment variable,affect outcome indirectly via
Instruments,outcome,affect indirectly
high-dimensional treatments,instruments,requires more instruments than available in underspecified problems
underspecified problems,full treatment effect,not identifiable in a single experiment
projection of the treatment effect,instrumented subspace,reliably recovered onto
partial estimates,different sets of instruments,combined from
algorithm,most informative instruments,iteratively proposes
most informative instruments,full causal effect,maximizes information about
cause-effect relationships,high-dimensional systems,are a common challenge in
gut microbiome,health and disease,causally influences
transcriptome of a cell,cell function,causally influences
high-dimensional treatment,outcome,are confounded via unknown mechanisms
cause-effect estimation,observational data,requires strong assumptions for computing p(y | do(x)) from
experimentation,identifying and estimating causal relationships,is indispensable for
direct intervention on the treatment,p(y | do(x)),provides direct access to
cause-effect relationships,mere association,can be captured by
treatment,p(y | do(x)),direct intervention on treatment yields direct access to causal effect
experiments,association,cause-effect relationships captured by mere association in experiments
practical experiments,treatment X,do not intervene directly on treatment X but on variable Z
scientific goal,effect of high-dimensional X on outcome Y,estimates effect of X on Y instead of effect of intervention on Z
antibiotics,gut microbiome,administering antibiotics has strong and highly predictable effect on gut microbiome
antibiotics,unobserved confounders,does not break causal links from unobserved confounders to X
drug dosages,transcriptome,applying drug dosages to cell cultures influences transcriptome
targeted gene knockouts,interventions as defined in causal inference,do not constitute interventions as defined in causal inference
CRISPR/Cas gene editing,interventions as defined in causal inference,do not constitute interventions as defined in causal inference
gene knockouts/edits,confounding with outcome,may still be confounded with the outcome of interest
antibiotic,causal influence of microbiome on disease,given to learn about how microbiome causally influences disease (p(y | do(x)))
antibiotic,overall effect on disease,not merely about overall effect of antibiotic on disease (p(y | do(z)))
variable experimented on,instrument Z,can at most serve as an instrument Z
