node_1,node_2,edge
BEATS,self-supervised learning (SSL) framework,is a
BEATS,audio representation pre-training,used for
BEATS,acoustic tokenizer,optimizes
BEATS,audio SSL model,optimizes
acoustic tokenizer,audio SSL model,jointly optimized with
audio SSL model,discrete label prediction task,trained with
discrete label prediction task,acoustic tokenizer,labels generated by
acoustic tokenizer,semantic-rich,is
BEATS,iterative pipeline,proposes
iterative pipeline,tokenizer,jointly optimizes
iterative pipeline,pre-trained model,jointly optimizes
BEATS,high-level semantics,aims to abstract
BEATS,redundant details,discards
BEATS,state-of-the-art (SOTA) results,achieves
BEATS,AudioSet-2M,sets new SOTA mAP 50.6% on
BEATS,ESC-50,achieves 98.1% accuracy on
BEATS,code and pre-trained models,available at
self-supervised learning (SSL),speech processing,applied to
self-supervised learning (SSL),audio processing,applied to
Wav2vec 2.0,speech SSL models,is a type of
HuBERT,speech SSL models,is a type of
BigSSL,speech SSL models,is a type of
WavLM,speech SSL models,is a type of
data2vec,speech SSL models,is a type of
speech SSL models,low-resource scenarios,show prominent performance in
audio,speech,differs from in containing wide variations of environmental events
speech SSL model,audio domain,does not lead to satisfactory performance when applied directly
audio SSL methods,acoustic feature reconstruction loss,employ as pre-training objective
speech SSL models,discrete label prediction pre-training task,employ as pre-training objective
pre-training objective,discrete label prediction,is a type of
discrete label prediction,reconstruction loss,contrasted with
reconstruction loss,low-level time-frequency features,accounts for correctness of
reconstruction loss,high-level audio semantic abstraction,neglects
discrete label prediction,audio pre-training objective,is a potentially better type of
discrete label prediction,high-level semantics,extracts and clusters
humans,audio,understand by extracting and clustering high-level semantics
audio SSL model,discrete label prediction pre-training objective,learns understanding and generalization skills through
discrete label prediction objective,audio modeling efficiency,improves
discrete label prediction objective,semantic-rich tokens,provides as pre-training targets
discrete label prediction objective,redundant details,encourages model to discard
discrete label prediction objective,audio understanding capability,results in superior
discrete label prediction objective,pre-training recourse cost,lowers
