node_1,node_2,edge
Bayesian Online Changepoint Detection,Generalised Bayesian perspective,leverages for provable robustness
Generalised Bayesian perspective,conjugate posteriors,leads to
conjugate posteriors,diffusion score matching,parameters available in closed form via
Bayesian Online Changepoint Detection,scalability,addresses issues of
Bayesian Online Changepoint Detection,robustness,provides provable
Changepoint detection,data stream,identifies sudden changes in statistical properties of
Changepoint detection,systems health monitoring,used in applications including
Changepoint detection,financial data,used in applications including
Changepoint detection,climate change,used in applications including
Changepoint detection,cyber security,used in applications including
CUSUM,Changepoint detection,is a parametric likelihood ratio method for
Change Finder methods,Changepoint detection,is a likelihood ratio method for
Bayesian methods,Changepoint detection,are used for
Bayesian online changepoint detection (BOCD),changepoint detection,is a method for
BOCD,data stream,assumes data comes from underlying distributions
BOCD,run-length,quantifies uncertainty over
BOCD,multivariate data,is suitable for
BOCD,uncertainty quantification,has capacity for
Dm-BOCD,BOCD,is a variant of
changepoint detection,Bayesian methods,can be performed using
online changepoint detection,real-time systems,allows acting on
BOCD,multivariate data,suitable for
BOCD,uncertainty quantification,has capacity to quantify
BOCD,Bayesian inference,inherited from
Bayesian inference,robustness,lacks
BOCD,outliers,not robust under
BOCD,model misspecification,not robust under
BOCD,failures,can lead to
failures,mild heterogeneities,caused by inferring as change points
lack of robustness,generalised Bayesian methods,addressed by
generalised Bayesian methods,β-divergences,based on
β-BOCD,BOCD,robust version of
β-BOCD,generalised Bayesian inference,uses
β-BOCD,robustness,provides
β-BOCD,scalability,lacks
β-BOCD,intractability,suffers from
intractability,generalised posterior,of
intractability,predictive distributions,of
intractability,variational approximations,requires multiple
