node_1,node_2,edge
Gradient Descent (GD),machine learning,is a method used in
Gradient Descent (GD),local minimisers,finds
Gradient Descent (GD),Lipschitz gradients,requires for guaranteed convergence
Gradient Descent (GD),gradient flow,is a discretisation of
Edge of Stability (EoS),step-size,crosses threshold at
Edge of Stability (EoS),Lipschitz constant,threshold is inversely proportional to
overparametrised models,Edge of Stability (EoS),motivate research beyond
large learning rate,Sharpness-Minimisation,associated with implicit regularisation
two-step gradient updates,unstable convergence,analyzed to understand conditions for
third-order derivatives,fixed points,local condition involving guarantees convergence to
gradient descent (GD),fixed points,converges to
local condition,third-order derivatives,involves
two-step updates,fixed points,guarantees existence and convergence to
teacher-student setting,population loss,under
Matrix Factorization,period-2 orbit of GD,provides observations of
period-2 orbit of GD,high-dimensional settings,observed in
gradient descent (GD),learning rate η,depends on
gradient descent (GD),local minimiser,converges to
overparametrisation,minimisers,defines which
Gradient Descent (GD),global minimisers,converges to
overparametrisation,manifold of global minimisers,defines
global minimisers,generalisation performance,have different
Gradient Descent (GD),Gradient Flow ODE,inherits local convergence properties from
learning rate η,generalization,large value improves
learning rate η,curvature λ(θ),compared with
curvature λ(θ),largest eigenvalue of the Hessian,measured by
condition supθ λ(θ) < 2/η,convergence of GD,guarantees
curvature λ(θ(t)),training trajectory,increases along
curvature λ(θ(t)),2/η,exceeds
Edge of Stability,λ(θ(t)) stably above 2/η,characterized by
Edge of Stability,decreasing training loss,associated with
