node_1,node_2,edge
One-sided Matrix Completion,Matrix Completion,is a variant of
One-sided Matrix Completion,right singular vectors,aims to recover
Matrix Completion,low-rank matrix X,reconstructs missing entries of
low-rank matrix X,observed entries,has few
One-sided Matrix Completion,X^T X,recovers via imputing missing values of
X^T X,two observations per row,can be recovered with
algorithm,X^T X,imputes missing values of
algorithm,synthetic data,evaluated on
algorithm,low-coverage genome sequencing,evaluated on
algorithm,standard matrix completion,outperforms
algorithm,direct factorization methods,outperforms
recovering left singular vectors,recovering right singular vectors,is impossible when
more rows than columns,very few observations,leads to impossibility of recovering left singular vectors
low-rank matrix completion,estimating missing data,formalizes
low-rank matrix completion,recommending movies to users,applied to
low-rank matrix completion,reducing MRI scan time via parallel imaging,applied to
low-rank matrix completion,quantifying annotator disagreement in dataset crowdsourcing,applied to
full matrix completion,rank-r matrix,requires observations proportional to
low-coverage genotype imputation,low-rank matrix completion,example application of
low-coverage genotype imputation,assumption violation,does not satisfy
genetic variants,"10,000,000",count of variants in humans
matrix,"10,000,000 × 2,000 matrix",dimensions of the matrix
matrix,"20,000,000 total observations",total number of observed entries
matrix,rank,rank is much less than number of observations per row
one-sided recovery,right singular vectors Q,estimates
right singular vectors Q,genotype variation factors,represents
genotype variation factors,"ethnicity, sex",examples of factors
left singular vectors P,right singular vectors Q,contrasted with
ground truth rank-r matrix X,factors U and V,decomposed into
U,left singular vectors,corresponds to
V,right singular vectors,corresponds to
two entries per row,linear inversion,enables finding alternative factors
linear inversion,˜U,used to find
˜U,˜V,product agrees with observations
