node_1,node_2,edge
UniDiffuser,diffusion framework,is a type of
UniDiffuser,multi-modal data,fits all distributions relevant to
UniDiffuser,marginal distributions,learns
UniDiffuser,conditional distributions,learns
UniDiffuser,joint distributions,learns
diffusion models,noise prediction,involves
perturbation levels,timesteps,are also known as
UniDiffuser,transformer,is parameterized by
UniDiffuser,image generation,performs
UniDiffuser,text generation,performs
UniDiffuser,text-to-image generation,performs
UniDiffuser,image-to-text generation,performs
UniDiffuser,image-text pair generation,performs
UniDiffuser,paired image-text data,implemented on
UniDiffuser,text-to-image generation,performs
UniDiffuser,FID score,evaluated by
UniDiffuser,CLIP score,evaluated by
UniDiffuser,Stable Diffusion,comparable to
UniDiffuser,DALL·E 2,comparable to
diffusion models,high-fidelity data,generate
diffusion models,diverse data,generate
diffusion models,text condition,aligns with
generative modeling,multi-modal data,applied to
content-creation revolution,generative modeling,driven by
generative models,bespoke systems,are designed as
generative models,single task,only allow
humans,multi-modal content,can generate
artists,paintings,create
paintings,texts,conditioned on
paintings,scenes,conditioned on
paintings,imagination,conditioned on
humans,caption,generate
caption,photo,of
general generative system,multi-modal data,targets
unified training framework,multi-modal generative tasks,covers
task,distribution,solved by fitting
text-to-image generation,conditional distribution p(Image|Text),formulated as learning
classical way,joint distribution,learns
joint distribution,marginal and conditional distributions,infers
Markov Chain Monte Carlo,additional procedures,is an example of
UniDiffuser,diffusion-based framework,is a
UniDiffuser,all relevant distributions,fits
UniDiffuser,one model,operates in
