node_1,node_2,edge
Regret of Exploration,Reinforcement Learning,is a performance measure in
Regret of Exploration,asymptotic cost of exploration,measures
Performance Test (PT),episodes,ends
Performance Test (PT),optimistic algorithms,used in
Performance Test (PT),current policy,based on performance of
current policy,best policy over current confidence set,compared to
existing RL algorithms,episode lengths,based on number of visits to states
Regret of Exploration,linear regret,has
proposed method,O(log T) regret of exploration,has
proposed method,non-degenerate deterministic MDPs,applies to
regret,Reinforcement Learning,measures performance in
regret,accumulated rewards,aggregates
regret,best achievable score,compares to
no-regret algorithm,sublinear regret,has
algorithm,no-regret,has property
no-regret algorithm,sublinear regret,characterized by
RL algorithm,model-based,is a type of
model-based algorithm,confidence region,maintains
confidence region,unknown MDP,models
model-based algorithm,episodes,uses
episode,policy,has fixed
episode,observations,collects
observations,confidence region,updates
updated estimate,new policy,computes
new policy,next episode,used for
model-based optimistic algorithm,principle of optimism in the face of uncertainty,follows
model-based optimistic algorithm,policy with maximal gain,picks
UCRL,model-based optimistic algorithm,is an example of
UCRL,UCB algorithm,adapted from
UCB algorithm,multi-armed bandits,used for
episodes,time-windows,are
episode,single policy,sticks to
uniformly bounded episode lengths,linear regret,can cause
regret,episode length,regret grows linearly with episode length
model-based RL algorithm,episodes with increasing lengths,uses
UCRL2,doubling trick,uses
doubling trick,episode termination,triggers when visit count of a transition doubles
extended doubling trick,episode termination,triggers when sum of visits to all states doubles
Bayesian context,episode length growth,uses episodes whose length grows by one at each step
episode length,infinity,grows to
IMED-RL,episodic algorithm,is not episodic nor optimistic
bad episodes,sub-optimal policy,use
current episodic algorithms,bad episodes,behave arbitrarily bad for arbitrarily long
Two-arm bandit,MDP,is an example of
MDP,one state,has
MDP,two actions,has
action a1,reward mean 1,has
action a2,reward mean 0.9,has
rewards,Gaussian distribution,are
