node_1,node_2,edge
Self-supervised learning (SSL),data augmentation,interacts with
Self-supervised learning (SSL),network architecture,interacts with
Self-supervised learning (SSL),training algorithm,interacts with
data augmentation,inductive bias,influences
network architecture,inductive bias,contributes to
training algorithm,generalization,affects
Self-supervised learning (SSL),generalization,aims to improve
Self-supervised learning (SSL),representations,learns
Self-supervised learning (SSL),pretraining,involves
pretraining,downstream tasks,precedes
model,distortions/views,invariant to
pretraining,model invariance,aims to achieve
pretraining,distortions/views of inputs,renders model invariant to
pretraining,downstream tasks,captures useful features for
SSL methods,practical issues,suffer from
SSL methods,instability and collapse,tend to suffer from
SSL methods,parameter tuning,require careful
pretraining,different behaviors and representations,can lead to
theoretical insights,practical issues,motivated to understand
joint-embedding framework,learned representations,characterizes
joint-embedding framework,"input distributions, data augmentations, and architecture",depends on
linear classes of functions,reproducing kernel,endowed with
loss function,contrastive and non-contrastive methods,models both
our work,discrete data setting of HaoChen et al. (2021),generalizes
contrastive methods,non-contrastive methods,modeled by a unified function
HaoChen et al. (2021),discrete data setting,generalized from
Saunshi et al. (2022),finite dimensional setting,generalized from
nonparametric models,universal approximation properties,potentially possesses
architectures,limiting kernel limits,captured through
limiting kernel limits,Jacot et al. (2018),attributed to
intrinsic integral operator,input distribution,depends on
intrinsic integral operator,choice of augmentations,depends on
inductive bias integral operator,model of computation,captures
downstream generalization error,previous work,sharper than
downstream generalization error,distribution shift,handles
pretraining excess risk,convex analysis,bounded via
multiple augmentations per sample,multi-crop,example of
optimal representations,closed form,found in
optimal representations,augmentations,role illustrated by
optimal representations,architecture,role illustrated by
optimal representations,regularization,role illustrated by
practical insights,SSL practitioners,discussed for
design choices in pretraining,downstream performance,affects
