node_1,node_2,edge
Neural Wasserstein Gradient Flows,Maximum Mean Discrepancy (MMD) functionals,are used to compute gradient flows of
Wasserstein gradient flows,Riesz kernels,involve non-smooth
Backward scheme,"Jordan, Kinderlehrer and Otto",is attributed to
Forward scheme,Wasserstein steepest descent flows,is used for computing
Neural networks (NNs),backward scheme,approximate
Neural networks (NNs),forward scheme,approximate
Transport plans,transport maps,are more general than
Velocity plans,velocity fields,are more general than
Generative NNs,disintegration of plans,approximate
Interaction energy,neural schemes,is used to benchmark
Wasserstein schemes,Dirac measure,start at
MMD flows,numerical examples,are illustrated by
Kullback-Leibler divergence,gradient flow,defines
gradient flow,Fokker-Planck equation,represented by
gradient flow,Langevin equation,represented by
gradient flow,Stein variational gradient descent,related to
Fokker-Planck equation,Langevin equation,related to
Wasserstein gradient flows,Jordan-Kinderlehrer-Otto (JKO) scheme,approximated by
Jordan-Kinderlehrer-Otto (JKO) scheme,Wasserstein proximal operator,uses
Wasserstein proximal operator,F,applied with respect to
absolutely continuous measures,Brenier's theorem,applied to
proximal operator,F,with respect to
Brenier’s theorem,absolutely continuous measures,applied to
transport maps,convex potentials,having
transport maps,neural networks (NNs),learned by
convex potentials,neural networks (NNs),learned by
objective functional,Kullback-Leibler divergence,arises from
Kullback-Leibler divergence,absolutely continuous measures,restricts to
gradient flows,discrepancy functionals,with respect to
discrepancy functionals,singular measures,defined for
maximum mean discrepancy (MMD),interaction energy,defined as
interaction energy,signed measures,for
interaction energy,conditionally positive definite kernel,depends on
gradient flows,MMD functional Fν,with respect to
MMD functional Fν,"potential energy VK,ν",includes
"potential energy VK,ν",attraction term,acts as
attraction term,masses of µ and ν,between
