node_1,node_2,edge
Online Conformal Prediction,Uncertainty Quantification,is a method for
Online Conformal Prediction,Prediction Sets,produces
Online Conformal Prediction,Regret Minimization Algorithms,leverages
Regret Minimization Algorithms,Online Learning,is from the field of
Online Conformal Prediction,Coverage,aims to achieve valid
Strongly Adaptive Regret,Standard Regret,is more robust than
Strongly Adaptive Regret,Intervals of Time,measures worst-case regret over all
Online Conformal Prediction,Strongly Adaptive Online Learning,is improved by
Data Distribution,Time,may vary arbitrarily over
Time Series Forecasting,Image Classification,are examples of real-world tasks
Distribution Shift,Image Classification,occurs in
accurate predictions,high stakes decision-making tasks,is important in
model uncertainty,true label deviation,quantifies
uncertainty quantification,prediction sets,uses
prediction sets,candidate labels,associates input with
prediction intervals,regression,used for
label sets,classification,used for
learned prediction sets,valid coverage,requires
valid coverage,true label,covers with at least 1-α probability
Conformal prediction,base predictor,augments
Conformal prediction,prediction sets,produces
prediction sets,valid coverage guarantees,has
valid coverage guarantees,exchangeability,requires
exchangeability,i.i.d. data,is sufficient condition for
exchangeability,real-world settings,fails in
time series data,distribution shift,exhibits
data corruption,distribution shift,exhibits
data corruption,distribution shift,may exhibit
distribution shift,reweighting,handled by
distribution shift,distributionally robust optimization,handled by
online conformal prediction,sequential order data,applied to
online conformal prediction,prediction set,outputs
prediction set,radius parameter,parameterized by
radius parameter,Online Gradient Descent (OGD),adjusted via
Online Gradient Descent (OGD),quantile loss,minimizes
online conformal prediction,empirical coverage frequency,achieves
online conformal prediction,sublinear regret,achieves
sublinear regret,quantile loss,with respect to
regret minimization techniques,coverage,achieve
regret minimization techniques,regret guarantees,achieve
regret minimization techniques,dynamic environments,may fall short in
