node_1,node_2,edge
Knowledge graph,complex logical queries,subject of answering
complex logical queries,Query Computation Tree Optimization,solved by
Query Computation Tree Optimization,query computation tree,utilizes
query computation tree,forward-backward propagation,optimized via
forward-backward propagation,local computations,involves
Query Computation Tree Optimization,link predictor,requires pretrained
Query Computation Tree Optimization,state-of-the-art performance,achieves
complex query answering,Query Computation Tree Optimization,improved by
intermediate solutions,one-hop atoms,interpreted for
Knowledge graph,triplet,stores structural knowledge in the form of
triplet,pair of entities,connects
pair of entities,relational edge,connected by
complex logical query,First-Order Logic,can be represented with
First-Order Logic,conjunction,includes
First-Order Logic,disjunction,includes
First-Order Logic,negation,includes
First-Order Logic,existential quantifier,includes
complex logical query,Directed Acyclic Graphs,can be represented as
complex logical query,one-hop queries,can be decomposed to
KGE model,one-hop queries,can answer with likelihood scores
Knowledge Graph (KG),complex logical query,traversed to answer
intermediate variables,viable entities,assigned according to structures
FOL (First-Order Logic),DAG (Directed Acyclic Graph),representations of complex logical query
real-world KGs,incompleteness,suffer from
knowledge graph embedding (KGE),one-hop KG queries,used for answering
complex logical queries,intermediate variables,answered by learning embeddings for
complex logical queries,training time overhead,require large
complex logical queries,out-of-distribution (OOD) query structures,struggle to generalize to
intermediate variables,interpretability,lack necessary
