node_1,node_2,edge
Thompson sampling,high-dimensional sparse linear contextual bandits,analyzed for
Thompson sampling,sparsity-inducing priors,uses
sparsity-inducing priors,spike-and-slab,example of
Thompson sampling,expected cumulative regret,provides upper bound on
variational inference,Markov Chain Monte Carlo (MCMC),used instead of
variational inference,posterior distribution,approximates
upper confidence bound (UCB),Thompson sampling,alternative algorithm class to
cumulative regret,ambient dimension d,depends polynomially on
cumulative regret,time horizon T,depends on
Upper Confidence Bound (UCB) algorithms,confidence set,rely on construction of
Thompson Sampling (TS),posterior distribution,maintains uncertainty in form of
Thompson Sampling (TS),Agrawal & Goyal (2013),first proposed by
Thompson Sampling (TS),regret bound,established
sequential decision-making,bandits problems,includes
sequential decision-making,reinforcement learning,includes
contextual bandits,personalized information,incorporates
contextual bandits,high-dimensional vectors,contexts modeled as
linear contextual bandit problem,contextual bandit problem,is a special case of
linear contextual bandit problem,expected reward,is a linear function of
contextual bandit problem,linear contextual bandit problem,is a special case of
linear contextual bandit problem,expected reward,is a linear function of features
high-dimensional sparse linear contextual bandit setup,reward,depends on a small subset of features
high-dimensional sparse linear contextual bandit setup,modern reinforcement learning applications,has abundance in
modern reinforcement learning applications,clinical trials,includes
modern reinforcement learning applications,personalized recommendation systems,includes
high-dimensional bandit field,existing literature,has
TS algorithms,high-dimensional sparse bandit setups,has limited work dedicated to analyzing
sparse information-directed sampling (IDS) algorithm,TS,reduces to under a special case
