node_1,node_2,edge
Offline model-based optimization,Biological sequence design,aims to maximize a black-box objective function for
Bidirectional learning,Forward mapping,combines for exploitation
Bidirectional learning,Backward mapping,combines for constraint
Neural tangent kernel (NTK),Proxy model,used to build
Pre-trained Language Models (LMs),Biological sequences,capture rich biophysical information in
Proxy model,Pre-trained LM,adds a linear head to
Linearization scheme,Proxy model,proposed for
Forward mapping,Backward mapping,play different roles and deserve different weights
Auxiliary model,Weak supervision signal,leverages via bi-level optimization
Bi-level optimization framework,Forward and backward mappings,learns how to balance
bi-level optimization framework,two mappings,balances
bi-level optimization framework,learning rate adaptation module Adaptive-η,extends to develop
learning rate adaptation module Adaptive-η,gradient-based algorithms,compatible with
offline model-based optimization,static dataset of designs and their scores,uses
offline model-based optimization,black-box objective function,maximizes
biological sequence design,DNA/protein sequence,includes
biological sequence design,specified property,maximizes
evolutionary algorithms,biological sequence design,proposed for
reinforcement learning methods,biological sequence design,proposed for
Bayesian optimization,biological sequence design,proposed for
reinforcement learning methods,"Angermueller et al., 2019",cited in
Bayesian optimization,"Terayama et al., 2021",cited in
search/sampling using generative models,"Brookes et al., 2019",cited in
search/sampling using generative models,"Chan et al., 2021",cited in
GFlowNets,"Jain et al., 2022",cited in
gradient-based techniques,"Trabucco et al., 2021",cited in
gradient-based techniques,deep neural network (DNN),trains as proxy
deep neural network (DNN),static dataset,trained on
gradient-based techniques,new designs,generates by gradient ascent
gradient-based techniques,biological sequence design,used in
biological sequence design,"Norn et al., 2021",cited in
biological sequence design,"Tischer et al., 2020",cited in
biological sequence design,"Linder & Seelig, 2020",cited in
out-of-distribution issue,trained proxy model,causes inaccuracy for
out-of-distribution issue,newly generated sequences,affects
regularization of the model,"Trabucco et al., 2021",proposed by
regularization of the model,"Yu et al., 2021",proposed by
regularization of the model,"Fu & Levine, 2021",proposed by
regularization of the design,"Chen et al., 2022c",proposed by
first category,training a better proxy,focuses on
first category,inductive biases,introduces
inductive biases,robustness,includes
robustness,"Yu et al., 2021",cited in
second category,bidirectional learning,introduces
bidirectional learning,"Chen et al., 2022c",proposed by
bidirectional learning,forward mapping,consists of
bidirectional learning,backward mapping,consists of
backward mapping,high-scoring design,leverages to predict static dataset
forward mapping,static dataset,predicts from high-scoring design
