node_1,node_2,edge
Budget pacing,Advertiser,is a tool used by
Target expenditure plan,Controller,is tracked by
Internet advertising,Google,funds free services through
Internet advertising,Facebook,funds free services through
Internet advertising,TikTok,funds free services through
Ad auction,advertisers,determines which ad is displayed to user
Advertisers,budget management,requires
Budget management,target expenditure plan,computes to address non-stationarities
Non-stationarities,traffic volume,exists in
Non-stationarities,user demographics,exists in
Non-stationarities,conversion rates,exists in
Non-stationarities,advertiser values,affects
non-stationarity,budget management systems,dealt with by computing a target expenditure plan
target expenditure plan,time,is a function of
target expenditure plan,cumulative daily/weekly budget,distributes into smaller chunks of time
pacing algorithm,target expenditure plan,tracks
budget-constrained advertiser,second-price auctions,participates in
advertiser,utility,seeks to maximize
advertiser,budget,respects
advertiser's value,highest competing bid,tuple generated from time-varying distributions
time-varying distributions,stationary distributions,departure from assumption in stochastic budget-management literature
daily traffic patterns,non-stationary,are
distributions {Pt}t,adversarially chosen,can be
Balseiro & Gur (2019),linear regret,showed every algorithm must incur
linear regret,hindsight-optimal benchmark,against
