node_1,node_2,edge
Temporal difference learning,value functions,fits value functions by minimizing temporal inconsistency
Direct estimation approach,value functions,fits value functions by minimizing prediction error
Temporal difference learning,direct estimation approach,competes with
Temporal difference learning,reinforcement learning,is central to
Inverse trajectory pooling coefficient,mean-squared error,characterizes percent reduction in
Temporal difference learning,mean-squared error,reduces
Trajectory crossing time,time horizon,can be much smaller than
Temporal difference learning,trajectory crossing time,errors bounded by
Temporal difference learning,difference in value-to-go,improves estimates of
temporal difference learning,reinforcement learning,central and novel idea in
temporal difference learning,direct-estimation approach,competes with
direct-estimation approach,past decisions,collects data on
direct-estimation approach,cumulative long-term reward,uses to evaluate actions
direct-estimation approach,delay,has drawback of
direct-estimation approach,variance,has drawback of
temporal difference learning,delay,aims to alleviate
temporal difference learning,variance,aims to alleviate
temporal difference learning,intermediate outcomes,leverages data on
intermediate outcomes,final outcomes,observed before
digital devices,patient’s health metrics,track across time
Sutton (1988),temporal difference errors,proposed to minimize
temporal difference errors,reinforcement learning,intellectual pillar of
TD,reinforcement learning,used in successful applications of
TD,direct value estimation,compared in mean squared error scaling
TD,inverse trajectory pooling coefficient,relative benefits determined by
TD,value-to-go at intermediate states,uses as surrogate
trajectories,common intermediate states,tend to reach
TD,advantage estimation,especially beneficial for
advantage estimation,difference in value-to-go,estimates
TD estimates,value-to-go at different states,are not independent
