node_1,node_2,edge
Adversarially Robust PAC Learnability,Real-Valued Functions,is studied in the context of
Regression setting,ℓp losses,uses
Regression setting,arbitrary perturbation sets,involves
Function classes,finite fat-shattering dimension,are learnable when having
Finite fat-shattering dimension,PAC learnability,implies
Realizable setting,PAC learnability,is a condition for
Agnostic setting,PAC learnability,is a condition for
Convex function classes,proper learnability,are
Non-convex function classes,improper learning algorithms,require
Adversarially robust sample compression scheme,fat-shattering dimension,size determined by
Agnostic sample compression scheme,real-valued functions,is introduced for
robust PAC learning framework,binary function classes,studied by Montasser et al. (2019)
uniform convergence,robust empirical risk minimization,"does not hold, making insufficient for learnability"
VC classes,improper learning rule,are learnable by considering
improper learning rule,function class,outputs a function not in the class
this work,robustness of real-valued predictors,provides theoretical understanding of
PAC learning model,arbitrary perturbation sets,with
Attias et al. (2019),finite perturbation sets,considered this question for
PAC learning model,arbitrary perturbation sets,considers learning with
Attias et al. (2019),finite perturbation sets,studied sample complexity for
finite perturbation sets,uniform convergence,sample complexity guarantees based on
arbitrary perturbation sets,uniform convergence,does not hold for
real-valued function classes,robust learnability,question of
convex classes,robust learnability,studied for
non-convex function classes,improper learning,provably require due to Montasser et al. (2019)
Mendelson (2019),non-robust regression,showed properly learnable with mean squared error
adversarial attack,perturbation function U,formalized by
perturbation function U,set of possible perturbations,maps x to
U(x),ℓ1 ball centered at x,commonly considered as
robust error,concept h,defined for
robust error,distribution D,depends on
learner,i.i.d. sample from D,gets
learner,output function ˆh,aims to produce
