node_1,node_2,edge
Sliced-Wasserstein distance,symmetric positive definite matrices,defined between measures of
Sliced-Wasserstein distance,M/EEG signals,applied to
covariance matrices,M/EEG signals,summarize
Riemannian geometry,covariance matrices,used to account for structure of
Sliced-Wasserstein distance,brain-age prediction,applied to
MEG data,brain-age prediction,used for
Sliced-Wasserstein distance,Wasserstein distance,efficient surrogate to
domain adaptation,Brain Computer Interface,applied for
Sliced-Wasserstein distance,domain adaptation,used in
multivariate time series,sensors,output by
sensors,head,placed around
sensors,magnetic or electric field intensity,capture
measurements,cognitive processes,provide information on
measurements,biological state,provide information on
machine learning (ML) techniques,M/EEG data,deal with
machine learning (ML) techniques,covariance matrices,rely on
covariance matrices,band-passed filtered signals,estimated from
band-passed filtered signals,frequency bands,in several
covariance matrices,symmetric positive definite (SPD) matrices,are a subset of
symmetric positive definite (SPD) matrices,linear space,is not a
symmetric positive definite (SPD) matrices,Riemannian manifold,is a
Riemannian geometry,SPD matrices,applied to
Riemannian geometry,ML community,popular in
Riemannian geometry,SPD matrices,applied to
SPD matrices,M/EEG data,used to model covariance matrices from
M/EEG data,Brain Computer Interface (BCI),used in applications of
M/EEG data,brain-age prediction,used in
covariance matrices,probability distribution,modeled as samples from
Optimal transport (OT),probability distributions,compares
Optimal transport (OT),Riemannian manifolds,defined on
Optimal transport (OT),SPD matrices,applied to space of
Wasserstein distance,Optimal transport (OT),defined by
Wasserstein distance,super cubic complexity,has
entropic regularization,Wasserstein distance,alternative to reduce complexity of
