node_1,node_2,edge
Neural network,Piecewise affine function,is a
Piecewise affine function,Polyhedral complex,supported on
Polyhedral complex,ReLU networks,extracted from
Polyhedral complex extraction,Edge subdivision,uses method of
Edge subdivision,Regions,alternative to subdividing
Sign-vectors,Combinatorial structure,encode
Polyhedral complex,Hyperplanes,induced by intersections with
Neuron,Hyperplane,induces
Method,GPU tensor operations,uses
Neural shape representation,Polyhedral complex,motivates optimization of geometric properties of
rectified linear unit (ReLU) activations,CPWA nature,induces
CPWA nature,discrete partitioning of the input domain,induces
discrete partitioning of the input domain,study NNs,provides an additional avenue for
affine piece,convex polyhedral set,supported on
collection of polyhedral sets,polyhedral complex,forms
polyhedral complex,arrangement of folded hyperplanes,induced by
arrangement of folded hyperplanes,decision boundaries of neurons,represents
polyhedral complex,max-affine spline operators,linked to
max-affine spline operators,geometric properties,possess
max-affine spline operators,joint optimization of domain partition and spline coefficients,allow for
CPWA NNs,neural implicit shape representations,used in
neural implicit shape representations,boundary mesh extraction,used for
neural implicit shape representations,visualization,used for
diverse range of applications,computational method to extract the complex,motivates
computational method,complex extraction,motivates
trivial approach,neuron states,evaluates at sampled points
trivial approach,domain partition,visualizes estimated
trivial approach,lower bound on number of regions,computes
exact approaches,mixed-integer linear program,formulated as
exact approaches,state-flipping,employs
region subdivision,complex’s regions,successively subdivides
region subdivision,neuron to neuron,subdivides from
region subdivision,layer to layer,subdivides from
our method,redundancy in region subdivision,motivated by observation of
continuity of activation function,folded hyperplane,ensures remains continuous
CPWA NNs,polyhedral complex,subdivides
each neuron of first hidden layer,affine hyperplane,contributes
each neuron of deeper layers,folded hyperplane,contributes
previous methods,regions (highest dimensional cells),subdivide
our method,edges,subdivides
