node_1,node_2,edge
Foundation models,supervised learning,show impressive adaptation and scalability in
Foundation models,self-supervised learning,show impressive adaptation and scalability in
Reinforcement learning (RL),Foundation models,successes have not fully translated to
RL agent,in-context learning algorithm,training at scale leads to
in-context learning algorithm,open-ended novel embodied 3D problems,can adapt to
Adaptive agent (AdA),humans,displays adaptation as quickly as
Adaptive agent (AdA),hypothesis-driven exploration,displays on-the-fly
Adaptive agent (AdA),efficient exploitation of acquired knowledge,displays
Adaptive agent (AdA),first-person demonstrations,can be successfully prompted with
Adaptation,meta-reinforcement learning,emerges from
Adaptation,"vast, smooth and diverse task distribution",emerges from meta-reinforcement learning across
Adaptation,policy parameterised as a large-scale attention-based memory architecture,emerges from
Adaptation,effective,emerges from an effective
task distribution,diverse,characterized by
policy,large-scale attention-based memory architecture,parameterised as
automated curriculum,tasks at the frontier of an agent’s capabilities,prioritises
scaling laws,network size,demonstrated with respect to
scaling laws,memory length,demonstrated with respect to
scaling laws,richness of the training task distribution,demonstrated with respect to
results,foundation for increasingly general and adaptive RL agents,lay
RL agents,open-ended domains,perform well across
Meta-RL,fast in-context adaptation,effective for
AdA,held-out task in a complex 3D environment,solves
AdA,test-time experience,adapts within minutes of
AdA,valid solution,finds
AdA,more rewarding behaviour,improves solution to find
agent movement,solid white lines,shown by
agent carrying an object,dashed coloured lines,shown by
reward,sparse,is
task space,vast and diverse,is
foundation models,semi-supervised learning,used in
foundation models,adapt in few shots,ability to
foundation models,strong foundation of general knowledge and skills,provide
attention-based memory architectures,Transformers,like
Transformers,power-law scaling in performance,show
performance,number of parameters,scales with
RL foundation model,pre-trained on a vast task distribution,is
RL foundation model,adapt few-shot to downstream tasks,can
Adaptive Agent (AdA),human-timescale adaptation,capable of
Adaptive Agent (AdA),vast open-ended task space,operates in
