node_1,node_2,edge
Schrödinger bridge problem (SBP),entropy-regularized optimal transport problem,interpreted as
Schrödinger bridge problem (SBP),score-based generative models (SGMs),compared with
Schrödinger bridge algorithm,approximated projections,based on
Schrödinger bridge problem (SBP),probabilistic time series imputation,applied to
probabilistic time series imputation,missing values,generates
probabilistic time series imputation,observed data,conditioned on
transport cost,performance,optimizing improves
proposed algorithm,state-of-the-art result,achieves
proposed algorithm,healthcare and environmental data,tested on
probabilistic time series imputation,temporal and feature patterns,explores
time series,finance,studied in
time series,healthcare,studied in
time series,meteorology,studied in
missing value problem,time series,limits interpretation of
missing value problem,incomplete observations,caused by
missing value problem,equipment failures,caused by
missing value problem,human errors,caused by
illiquidity of assets,missing values,results in
missing values,trading strategies,impacts ability to devise
missing data,mortality rate prediction,limits efficacy of
missing data,medications and surgical treatments,limits efficacy of
score-based generative models,missing value problem,standard approach to tackle
score-based generative models,backward process,recovers data distribution through
Conditional Score-based Diffusion Models for Imputation (CSDI),Score-based Generative Models (SGMs),is a type of
CSDI,probabilistic time series imputation,achieves state-of-the-art performance in
CSDI,temporal-feature patterns,learns
SGMs,backward process,recovers data distribution through
backward process,scores of posterior distributions,estimates
posterior distributions,observed data,conditioned on
Schrödinger bridge problem (SBP),entropy-regularized optimal transport (EOT),can be transformed into
EOT,iterative proportional fitting (IPF) algorithm,gives rise to
IPF algorithm,transport cost,minimizes
IPF algorithm,score functions,facilitates estimation of
SBP,linear Gaussian priors,generalizes to non-linear families
CSDI,transport cost,requires extensive computations for
