node_1,node_2,edge
Inverse Reinforcement Learning (IRL),reward function,recovers
Inverse Reinforcement Learning (IRL),expert agent,uses demonstrations from
Learning from a Learner (LfL),reward function,infers from a learning agent
Learning from a Learner (LfL),progressively improving policies,uses demonstrations from
MA-LfL (Multi-agent Learning from a Learner),reward functions,infers
MA-LfL (Multi-agent Learning from a Learner),interacting agents,studies
MA-LfL (Multi-agent Learning from a Learner),general sum stochastic game,operates in
MA-LfL (Multi-agent Learning from a Learner),multi-agent soft policy iteration scheme,based on
multi-agent soft policy iteration scheme,agents,learning according to
Inverse Reinforcement Learning (IRL),reward function,infers
reward function,reinforcement learning (RL) agent,belongs to
reward function,trajectories,inferred from
learning the reward function,learning the policy,compared to
reward function,task description,provides a more succinct
reward function,new environments,transferable to
demonstrator,expert,is not necessarily
reward functions,learning process,do not change during
multi-agent,reward functions,learning is crucial in
policy learning,reward functions,reward functions are learned during ongoing policy learning
multi-agent setting,reward functions,learning reward functions is crucial in a multi-agent setting
autonomous cars,lane change,lane change is a case study for autonomous cars
private agents,states and actions,private agents can observe each other's states and actions
private agents,policies and rewards,private agents cannot access each other's policies and rewards
Inverse Reinforcement Learning (IRL),reward functions,IRL infers reward functions of other agents
IRL,linear reward function,initial IRL work assumed reward function is linear w.r.t. features
recent IRL approaches,linear reward function assumption,recent IRL approaches relax the linear reward function assumption
early IRL literature,expert agent,early IRL assumed the observed agent is an expert
recent work,optimality assumption,recent work has relaxed the optimality assumption
Learning from a Learner (LfL),reward function,LfL infers reward function of a learning agent from progressively improving policies
Multi-Agent Learning from Learners,LfL problem,Multi-Agent Learning from Learners is another approach to the LfL problem
multi-agent case,IRL,IRL has been studied in the multi-agent case
