node_1,node_2,edge
Arcade Learning Environment (ALE),reinforcement learning algorithms,benchmark for assessing performance
Arcade Learning Environment (ALE),57-game dataset,contains
computational cost,57-game dataset,limits use of
computational cost,reproducibility,makes infeasible
Atari-5,five ALE games,subset of
Atari-5,57-game median score estimates,produces within 10% of true values
10-game subset,57-game set,recovers 80% of variance for log-scores
high degree of correlation,games in ALE,enables compression
algorithms,"Schrittwieser et al., 2020",featured in work
algorithms,"Kapturowski et al., 2018",featured in work
algorithms,"Horgan et al., 2018",featured in work
algorithms,"Hessel et al., 2018",featured in work
algorithms,"Gruslys et al., 2018",featured in work
algorithms,"Mnih et al., 2015",featured in work
full benchmark,large research groups,results limited to
cost of evaluation,full dataset,not feasible for many
verification of superiority claims,statistical tests on multiple seeds,remains rare due to high cost
technological improvements,computation costs,reduced
increase in scale,RL algorithms,outpaced decrease in costs
number of frames used for training,state-of-the-art results on ALE,increased by more than one-thousand times
"Deep Q-learning model (Mnih et al., 2015)","Agent57 (Badia et al., 2020)",seven years apart in time
training modern machine learning models,carbon emissions,produces non-trivial amounts
Agent57,"Badia et al., 2020",introduced by
Training modern machine learning models,carbon emissions,produces
carbon emissions,Appendix A,analyzed in
Previous works,ad hoc subsets of games,self-selected
ad hoc subsets of games,bias,adds
ad hoc subsets of games,comparison between works,makes more challenging
this paper,principled approach,outlines
principled approach,selecting subsets of environments,used for
selecting subsets of environments,RL benchmark suite,from
small subset of ALE,useful information of a full run,captures
Atari-5,new benchmark,is a
Atari-5,median score estimates on the full dataset,correlates closely with
Atari-5,less than one-tenth the cost,produced at
this new benchmark,more researchers,allows participation of
this new benchmark,development of novel algorithms,speeds up
this new benchmark,replication of results in RL,makes more feasible
primary contributions,methodology for selecting representative subsets,includes
primary contributions,Atari-5 benchmark,includes introduction of
primary contributions,high degree of correlation between scores for many games within ALE,includes evidence of
Arcade Learning Environment (ALE),Bellemare,introduced by
