node_1,node_2,edge
Directed acyclic graphs (DAGs),distribution,encode information about
inference of DAGs,combinatorially large space,requires sweep of
NOTEARS,differentiable metric,uses
NOTEARS,DAG discovery,is a seminal work in
NOTEARS,transportability,concedes
transportability,structures discovered on one dataset,ensures apply to another dataset from same domain
D-Struct,transportability,recovers
D-Struct,differentiable,remains
D-Struct,novel architecture and loss function,uses
D-Struct,edge accuracy,evaluated with respect to
D-Struct,structural Hamming distance,evaluated with respect to
machine learning,causal deep learning,includes
machine learning,medicine,applied in
machine learning,economics,applied in
machine learning,physics,applied in
machine learning,robotics,applied in
machine learning,entertainment,applied in
machine learning,scientific discovery,recognized as tool for
D-Struct,structure learner,is a
D-Struct,differentiable,is
D-Struct,transportable,is
directed acyclic graph (DAG),variables,models interactions between
DAG,joint distribution,represents
DAG,joint distribution P X,models variable interactions in
DAG,independence of variables,allows analysis of
X,Y,does not directly influence
X,Z,gives no additional information on Y once Z is known
independence statements,possible DAGs,limits
independence tests,computationally expensive,are
number of potential DAGs,number of variables,increases super-exponentially with
NOTEARS,DAG-structure learning,enables efficient
NOTEARS,conditional independence tests (CITs),more efficient than methods based on
NOTEARS,transportability,lacks
discovered DAG,equally factorisable distributions,does not generalise to
