node_1,node_2,edge
Second-order regression models,progressive sharpening,exhibit
Second-order regression models,edge of stability,exhibit
gradient descent,large step sizes,with
loss Hessian,largest eigenvalue,has
progressive sharpening,initial increase in the largest eigenvalue,is characterized by
edge of stability,stabilization of the eigenvalue near the maximum value,is characterized by
Neural Tangent Kernel (NTK) regime,progressive sharpening,does not exhibit
Neural Tangent Kernel (NTK) regime,edge of stability,does not exhibit
predictive function,parameters,is approximately linear in
second-order regression models,quadratic in the parameters,are
quadratic objectives in two dimensions,second-order regression model,for which
second-order regression model,progressive sharpening of the NTK eigenvalue,exhibits
progressive sharpening of the NTK eigenvalue,edge of stability,towards a value that differs slightly from
higher dimensions,model,shows similar behavior in
progressive sharpening,neural networks,is not unique to
edge-of-stability behavior,neural networks,is not unique to
progressive sharpening,discrete learning algorithms,could be a more general property of
edge-of-stability behavior,discrete learning algorithms,could be a more general property of
discrete learning algorithms,high-dimensional non-linear models,in
discrete learning algorithms,high-dimensional non-linear models,property of
Neural Tangent Kernel (NTK),learning dynamics,controls
NTK regime,function-space ODE,allows for explicit characterization of network outputs
linearized regime,Neural Tangent Kernel (NTK),is characterized by
wide networks,NTK regime,can be described by over large time horizons
linearized regime,feature learning,cannot capture
large-width scaling regimes,non-linearity,can preserve
large-width scaling regimes,feature learning,allow for
small learning-rate dynamics,continuous-time dynamics,focuses on
small learning-rate dynamics,continuous-time dynamics,are related to
non-linear discrete dynamics,large learning rates,arise from
networks,progressive sharpening,display
progressive sharpening,edge of stability,leads to
maximum eigenvalue of loss Hessian,edge of stability,increases towards
edge of stability,learning rate,equals roughly two divided by
gradient descent,quadratic potential,converges in
quadratic regression models,relevant phenomenology,display
quadratic regression models,NTK regime,beyond
maximum NTK eigenvalue,edge of stability,converges to
progressive sharpening,edge of stability,demonstrated empirically to
