node_1,node_2,edge
Sharpness of minima,Test error,positively correlated
Sharpness of minima,Generalization,positively correlated when optimized during training
Standard sharpness,Reparametrizations of neural networks,not invariant under
Adaptive sharpness,Reparametrization-invariant sharpness,is a proposed definition of
Adaptive sharpness,Generalization,does not correlate well with in modern practical settings
Sharpness,"Training parameters (e.g., learning rate)",correlates with
Learning rate,Generalization,can be positively or negatively correlated depending on setup
Sharpness,Out-of-distribution error,negatively correlated
Sharper minima,Generalization,can generalize better in some cases
sharp minima,generalization,implies better generalization
sharpness measure,data-dependent,is highly dependent on
flat minima,low loss,should still have low loss under perturbation
out-of-distribution discrepancy,flat minima,affects the loss of
sharpness,generalization bounds,appears in
VC-dimension,generalization,correlates negatively with
sharpness,generalization,correlates well with in deep learning setups
sharpness,generalization,correlates with
sharpness,generalization measure,is a promising
sharpness-aware minimization (SAM),sharpness,minimizes
sharpness-aware minimization (SAM),generalization,suggests importance for
flatter minima,generalization,should generalize better
standard sharpness definitions,generalization,do not correlate well with
standard sharpness definitions,reparametrizations,lack invariance under
adaptive sharpness,reparametrization issue,fixes
adaptive sharpness,generalization,correlates better with
empirical evidence,sharpness,restricted to small datasets like CIFAR-10 or SVHN
